date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2023-01-04,BAR,164,18.41,3012.68,3.0134,0.0,Unknown,1,false
2023-01-04,IAU,86,35.26,3028.06,3.0288,0.0,Unknown,1,false
2023-01-04,SGOL,170,17.8,3022.6,3.0233,0.0,Unknown,1,false
2023-01-05,BAR,164,18.41,2977.42,2.9814,0.0,Unknown,1,false
2023-01-05,IAU,86,35.26,2991.94,2.9959,0.0,Unknown,1,false
2023-01-05,SGOL,170,17.8,2983.5,2.9875,0.0,Unknown,1,false
2023-01-06,BAR,164,18.41,3032.36,3.0313,0.0,Unknown,1,false
2023-01-06,IAU,86,35.26,3046.98,3.0459,0.0,Unknown,1,false
2023-01-06,SGOL,170,17.8,3041.3,3.0403,0.0,Unknown,1,false
2023-01-09,BAR,164,18.41,3040.56,3.0389,0.0,Unknown,1,false
2023-01-09,IAU,86,35.26,3053.0,3.0513,0.0,Unknown,1,false
2023-01-09,SGOL,170,17.8,3048.1,3.0464,0.0,Unknown,1,false
2023-01-10,BAR,164,18.41,3052.04,3.0493,0.0,Unknown,1,false
2023-01-10,IAU,86,35.26,3063.32,3.0606,0.0,Unknown,1,false
2023-01-10,SGOL,170,17.8,3060.0,3.0573,0.0,Unknown,1,false
2023-01-11,BAR,164,18.41,3047.12,3.0447,0.0,Unknown,1,false
2023-01-11,IAU,86,35.26,3062.46,3.06,0.0,Unknown,1,false
2023-01-11,SGOL,170,17.8,3056.6,3.0542,0.0,Unknown,1,false
2023-01-12,BAR,164,18.41,3084.84,3.079,0.0,Unknown,1,false
2023-01-12,IAU,86,35.26,3097.72,3.0919,0.0,Unknown,1,false
2023-01-12,SGOL,170,17.8,3092.3,3.0865,0.0,Unknown,1,false
2023-01-13,BAR,164,18.41,3119.28,3.11,0.0,Unknown,1,false
2023-01-13,IAU,86,35.26,3134.7,3.1254,0.0,Unknown,1,false
2023-01-13,SGOL,170,17.8,3129.7,3.1204,0.0,Unknown,1,false
2023-01-17,BAR,164,18.41,3100.42,3.0931,0.0,Unknown,1,false
2023-01-17,IAU,86,35.26,3114.06,3.1067,0.0,Unknown,1,false
2023-01-17,SGOL,170,17.8,3109.3,3.1019,0.0,Unknown,1,false
2023-01-18,BAR,164,18.41,3093.04,3.0865,0.0,Unknown,1,false
2023-01-18,IAU,86,35.26,3105.46,3.0989,0.0,Unknown,1,false
2023-01-18,SGOL,170,17.8,3099.1,3.0926,0.0,Unknown,1,false
2023-01-19,BAR,164,18.41,3142.24,3.1309,0.0,Unknown,1,false
2023-01-19,IAU,86,35.26,3155.34,3.144,0.0,Unknown,1,false
2023-01-19,SGOL,170,17.8,3150.1,3.1388,0.0,Unknown,1,false
2023-01-20,BAR,164,18.41,3130.76,3.1205,0.0,Unknown,1,false
2023-01-20,IAU,86,35.26,3143.3,3.133,0.0,Unknown,1,false
2023-01-20,SGOL,170,17.8,3139.9,3.1297,0.0,Unknown,1,false
2023-01-23,BAR,164,18.41,3135.68,3.125,0.0,Unknown,1,false
2023-01-23,IAU,86,35.26,3149.32,3.1386,0.0,Unknown,1,false
2023-01-23,SGOL,170,17.8,3143.3,3.1326,0.0,Unknown,1,false
2023-01-24,BAR,164,18.41,3148.8,3.1369,0.0,Unknown,1,false
2023-01-24,IAU,86,35.26,3160.5,3.1486,0.0,Unknown,1,false
2023-01-24,SGOL,170,17.8,3156.9,3.145,0.0,Unknown,1,false
2023-01-25,BAR,164,18.41,3161.92,3.1486,0.0,Unknown,1,false
2023-01-25,IAU,86,35.26,3176.84,3.1635,0.0,Unknown,1,false
2023-01-25,SGOL,170,17.8,3170.5,3.1572,0.0,Unknown,1,false
2023-01-26,BAR,164,18.41,3135.68,3.1251,0.0,Unknown,1,false
2023-01-26,IAU,86,35.26,3146.74,3.1361,0.0,Unknown,1,false
