date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2023-01-03,100000.0,100000.0,0,0.0,0.0,0.0,0.0,DEFLATION,0.0
2023-01-04,99976.66,90913.3224,3,-0.0002,-0.0002,-0.0233,0.0,DEFLATION,0.0
2023-01-05,99866.18,90913.3224,3,-0.0011,-0.0013,-0.1338,0.0,DEFLATION,0.0
2023-01-06,100033.96,90913.3224,3,0.0017,0.0003,0.0,0.0,DEFLATION,0.0
2023-01-09,100054.98,90913.3224,3,0.0002,0.0005,0.0,0.0,DEFLATION,0.0
2023-01-10,100088.68,90913.3224,3,0.0003,0.0009,0.0,0.0,DEFLATION,0.0
2023-01-11,100079.5,90913.3224,3,-0.0001,0.0008,-0.0092,0.0,DEFLATION,0.0
2023-01-12,100188.18,90913.3224,3,0.0011,0.0019,0.0,0.0,DEFLATION,0.0
2023-01-13,100297.0,90913.3224,3,0.0011,0.003,0.0,0.0,DEFLATION,0.0
2023-01-17,100237.1,90913.3224,3,-0.0006,0.0024,-0.0597,0.0,DEFLATION,0.0
2023-01-18,100210.92,90913.3224,3,-0.0003,0.0021,-0.0858,0.0,DEFLATION,0.0
2023-01-19,100361.0,90913.3224,3,0.0015,0.0036,0.0,0.0,DEFLATION,0.0
2023-01-20,100327.28,90913.3224,3,-0.0003,0.0033,-0.0336,0.0,DEFLATION,0.0
2023-01-23,100341.62,90913.3224,3,0.0001,0.0034,-0.0193,0.0,DEFLATION,0.0
2023-01-24,100379.52,90913.3224,3,0.0004,0.0038,0.0,0.0,DEFLATION,0.0
2023-01-25,100422.58,90913.3224,3,0.0004,0.0042,0.0,0.0,DEFLATION,0.0
2023-01-26,100339.04,90913.3224,3,-0.0008,0.0034,-0.0832,0.0,DEFLATION,0.0
2023-01-27,100323.88,90913.3224,3,-0.0002,0.0032,-0.0983,0.0,DEFLATION,0.0
2023-01-30,100297.1,90913.3224,3,-0.0003,0.003,-0.125,0.0,DEFLATION,0.0
2023-01-31,100332.42,90913.3224,3,0.0004,0.0033,-0.0898,0.0,DEFLATION,0.0
2023-02-01,100457.08,90913.3224,3,0.0012,0.0046,0.0,0.0,DEFLATION,0.0
2023-02-02,100252.24,90913.3224,3,-0.002,0.0025,-0.2039,0.0,DEFLATION,0.0
2023-02-03,100016.52,91301.76147,3,-0.0024,0.0002,-0.4386,0.0,DEFLATION,0.0
2023-02-06,100035.68,91301.76147,3,0.0002,0.0004,-0.4195,0.0,DEFLATION,0.0
2023-02-07,100043.69,91301.76147,3,0.0001,0.0004,-0.4115,0.0,DEFLATION,0.0
2023-02-08,100068.56,91301.76147,3,0.0002,0.0007,-0.3868,0.0,DEFLATION,0.0
2023-02-09,99996.65,91301.76147,3,-0.0007,-0.0,-0.4583,0.0,DEFLATION,0.0
2023-02-10,100015.01,91301.76147,3,0.0002,0.0002,-0.4401,0.0,DEFLATION,0.0
2023-02-13,99966.62,91301.76147,3,-0.0005,-0.0003,-0.4882,0.0,DEFLATION,0.0
2023-02-14,99974.48,91301.76147,3,0.0001,-0.0003,-0.4804,-0.145555,DEFLATION,0.0
2023-02-15,99887.34,91301.76147,3,-0.0009,-0.0011,-0.5672,-0.65564,DEFLATION,0.0
2023-02-16,99883.55,91301.76147,3,-0.0,-0.0012,-0.5709,-0.541201,DEFLATION,0.0
2023-02-17,99907.36,91301.76147,3,0.0002,-0.0009,-0.5472,0.255345,DEFLATION,0.0
2023-02-21,99876.18,91301.76147,3,-0.0003,-0.0012,-0.5783,-1.011722,DEFLATION,0.0
2023-02-22,99827.75,91301.76147,3,-0.0005,-0.0017,-0.6265,-1.456166,DEFLATION,0.0
2023-02-23,99822.0,91301.76147,3,-0.0001,-0.0018,-0.6322,-1.717576,DEFLATION,0.0
2023-02-24,99764.58,91301.76147,3,-0.0006,-0.0024,-0.6894,-2.018113,DEFLATION,0.0
2023-02-27,99794.04,91301.76147,3,0.0003,-0.0021,-0.66,-2.61232,DEFLATION,0.0
2023-02-28,99836.18,91301.76147,3,0.0004,-0.0016,-0.6181,-3.157126,DEFLATION,0.0
