date,asset,action,quantity,price,value,reason,score_before,score_after,bucket,regime
2023-01-04,BAR,BUY,164,18.37,3012.68,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-04,IAU,BUY,86,35.21,3028.06,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-04,SGOL,BUY,170,17.78,3022.6,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-05,BAR,HOLD,164,18.16,2977.42,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-05,IAU,HOLD,86,34.79,2991.94,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-05,SGOL,HOLD,170,17.55,2983.5,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-06,BAR,HOLD,164,18.49,3032.36,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-06,IAU,HOLD,86,35.43,3046.98,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-06,SGOL,HOLD,170,17.89,3041.3,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-09,BAR,HOLD,164,18.54,3040.56,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-09,IAU,HOLD,86,35.5,3053.0,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-09,SGOL,HOLD,170,17.93,3048.1,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-10,BAR,HOLD,164,18.61,3052.04,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-10,IAU,HOLD,86,35.62,3063.32,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-10,SGOL,HOLD,170,18.0,3060.0,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-11,BAR,HOLD,164,18.58,3047.12,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-11,IAU,HOLD,86,35.61,3062.46,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-11,SGOL,HOLD,170,17.98,3056.6,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-12,BAR,HOLD,164,18.81,3084.84,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-12,IAU,HOLD,86,36.02,3097.72,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-12,SGOL,HOLD,170,18.19,3092.3,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-13,BAR,HOLD,164,19.02,3119.28,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-13,IAU,HOLD,86,36.45,3134.7,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-13,SGOL,HOLD,170,18.41,3129.7,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-17,BAR,HOLD,164,18.9,3100.42,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-17,IAU,HOLD,86,36.21,3114.06,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-17,SGOL,HOLD,170,18.29,3109.3,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-18,BAR,HOLD,164,18.86,3093.04,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-18,IAU,HOLD,86,36.11,3105.46,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-18,SGOL,HOLD,170,18.23,3099.1,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-19,BAR,HOLD,164,19.16,3142.24,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-19,IAU,HOLD,86,36.69,3155.34,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-19,SGOL,HOLD,170,18.53,3150.1,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-20,BAR,HOLD,164,19.09,3130.76,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-20,IAU,HOLD,86,36.55,3143.3,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-20,SGOL,HOLD,170,18.47,3139.9,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-23,BAR,HOLD,164,19.12,3135.68,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-23,IAU,HOLD,86,36.62,3149.32,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-23,SGOL,HOLD,170,18.49,3143.3,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-24,BAR,HOLD,164,19.2,3148.8,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-24,IAU,HOLD,86,36.75,3160.5,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-24,SGOL,HOLD,170,18.57,3156.9,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-25,BAR,HOLD,164,19.28,3161.92,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-25,IAU,HOLD,86,36.94,3176.84,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-25,SGOL,HOLD,170,18.65,3170.5,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-26,BAR,HOLD,164,19.12,3135.68,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-26,IAU,HOLD,86,36.59,3146.74,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-26,SGOL,HOLD,170,18.49,3143.3,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-27,BAR,HOLD,164,19.09,3130.76,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-27,IAU,HOLD,86,36.55,3143.3,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-27,SGOL,HOLD,170,18.45,3136.5,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-30,BAR,HOLD,164,19.03,3120.92,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-30,IAU,HOLD,86,36.44,3133.84,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-30,SGOL,HOLD,170,18.41,3129.02,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-31,BAR,HOLD,164,19.09,3130.76,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-31,IAU,HOLD,86,36.59,3146.74,Position update,0.0,0.0,Unknown,DEFLATION
2023-01-31,SGOL,HOLD,170,18.48,3141.6,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-01,BAR,HOLD,164,19.36,3175.04,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-01,IAU,HOLD,86,37.07,3188.02,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-01,SGOL,HOLD,170,18.71,3180.7,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-02,BAR,HOLD,164,18.94,3106.16,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-02,IAU,HOLD,86,36.26,3118.36,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-02,SGOL,HOLD,170,18.32,3114.4,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-03,BAR,HOLD,164,18.46,3027.44,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-03,IAU,HOLD,86,35.37,3041.82,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-03,SGOL,SELL,170,17.85,3034.5,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-03,AAAU,BUY,143,18.5,2645.5,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-06,BAR,HOLD,164,18.5,3034.0,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-06,IAU,HOLD,86,35.45,3048.7,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-06,AAAU,HOLD,143,18.54,2651.22,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-07,BAR,HOLD,164,18.52,3037.28,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-07,IAU,HOLD,86,35.48,3051.28,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-07,AAAU,HOLD,143,18.56,2653.36,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-08,BAR,HOLD,164,18.58,3047.12,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-08,IAU,HOLD,86,35.58,3059.88,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-08,AAAU,HOLD,143,18.6,2659.8,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-09,BAR,HOLD,164,18.42,3020.88,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-09,IAU,HOLD,86,35.29,3034.94,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-09,AAAU,HOLD,143,18.45,2639.06,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-10,BAR,HOLD,164,18.47,3029.08,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-10,IAU,HOLD,86,35.35,3040.1,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-10,AAAU,HOLD,143,18.49,2644.07,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-13,BAR,HOLD,164,18.36,3011.04,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-13,IAU,HOLD,86,35.18,3025.48,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-13,AAAU,HOLD,143,18.38,2628.34,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-14,BAR,HOLD,164,18.38,3014.32,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-14,IAU,HOLD,86,35.2,3027.2,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-14,AAAU,HOLD,143,18.4,2631.2,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-15,BAR,HOLD,164,18.19,2983.16,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-15,IAU,HOLD,86,34.84,2996.24,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-15,AAAU,HOLD,143,18.23,2606.18,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-16,BAR,HOLD,164,18.18,2981.52,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-16,IAU,HOLD,86,34.84,2996.24,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-16,AAAU,HOLD,143,18.21,2604.03,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-17,BAR,HOLD,164,18.23,2989.72,Position update,0.0,0.0,Unknown,DEFLATION
2023-02-17,IAU,HOLD,86,34.93,3003.98,Position update,0.0,0.0,Unknown,DEFLATION
