date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2023-01-04,IAU,86,35.26,3028.06,3.0286,0.0,Gold,1,false
2023-01-04,BAR,164,18.41,3012.68,3.0132,0.0,Gold,1,false
2023-01-05,IAU,86,35.26,2991.94,2.9946,0.0,Gold,1,false
2023-01-05,BAR,164,18.41,2977.42,2.9801,0.0,Gold,1,false
2023-01-06,IAU,86,35.26,3046.98,3.0463,0.0,Gold,1,false
2023-01-06,BAR,164,18.41,3032.36,3.0317,0.0,Gold,1,false
2023-01-09,IAU,86,35.26,3053.0,3.0519,0.0,Gold,1,false
2023-01-09,BAR,164,18.41,3040.56,3.0395,0.0,Gold,1,false
2023-01-10,IAU,86,35.26,3063.32,3.0616,0.0,Gold,1,false
2023-01-10,BAR,164,18.41,3052.04,3.0503,0.0,Gold,1,false
