date,asset,action,quantity,price,value,reason,score_before,score_after,bucket,regime
2023-01-04,IAU,BUY,86,35.21,3028.06,New position,0.0,0.57,Gold,DEFLATION
2023-01-04,BAR,BUY,164,18.37,3012.68,New position,0.0,0.578,Gold,DEFLATION
2023-01-05,IAU,HOLD,86,34.79,2991.94,New position,0.0,0.57,Gold,DEFLATION
2023-01-05,BAR,HOLD,164,18.16,2977.42,New position,0.0,0.578,Gold,DEFLATION
2023-01-06,IAU,HOLD,86,35.43,3046.98,New position,0.0,0.57,Gold,DEFLATION
2023-01-06,BAR,HOLD,164,18.49,3032.36,New position,0.0,0.578,Gold,DEFLATION
2023-01-09,IAU,HOLD,86,35.5,3053.0,New position,0.0,0.57,Gold,DEFLATION
2023-01-09,BAR,HOLD,164,18.54,3040.56,New position,0.0,0.578,Gold,DEFLATION
2023-01-10,IAU,HOLD,86,35.62,3063.32,New position,0.0,0.57,Gold,DEFLATION
2023-01-10,BAR,HOLD,164,18.61,3052.04,New position,0.0,0.578,Gold,DEFLATION
