date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2023-01-04,GLD,17,172.86,2935.39,2.9359,0.0,Gold,1,false
2023-01-04,BAR,164,18.41,3012.68,3.0132,0.0,Gold,1,false
2023-01-05,GLD,17,172.86,2898.84,2.9014,0.0,Gold,1,false
2023-01-05,BAR,164,18.41,2977.42,2.98,0.0,Gold,1,false
2023-01-06,GLD,17,172.86,2953.07,2.9524,0.0,Gold,1,false
2023-01-06,BAR,164,18.41,3032.36,3.0317,0.0,Gold,1,false
2023-01-09,GLD,17,172.86,2959.7,2.9586,0.0,Gold,1,false
2023-01-09,BAR,164,18.41,3040.56,3.0395,0.0,Gold,1,false
2023-01-10,GLD,17,172.86,2970.58,2.9688,0.0,Gold,1,false
2023-01-10,BAR,164,18.41,3052.04,3.0502,0.0,Gold,1,false
