date,asset,action,quantity,price,value,reason,score_before,score_after,bucket,regime
2023-01-04,GLD,BUY,17,172.67,2935.39,New position,0.0,0.57,Gold,DEFLATION
2023-01-04,BAR,BUY,164,18.37,3012.68,New position,0.0,0.578,Gold,DEFLATION
2023-01-05,GLD,HOLD,17,170.52,2898.84,New position,0.0,0.57,Gold,DEFLATION
2023-01-05,BAR,HOLD,164,18.16,2977.42,New position,0.0,0.578,Gold,DEFLATION
2023-01-06,GLD,HOLD,17,173.71,2953.07,New position,0.0,0.57,Gold,DEFLATION
2023-01-06,BAR,HOLD,164,18.49,3032.36,New position,0.0,0.578,Gold,DEFLATION
2023-01-09,GLD,HOLD,17,174.1,2959.7,New position,0.0,0.57,Gold,DEFLATION
2023-01-09,BAR,HOLD,164,18.54,3040.56,New position,0.0,0.578,Gold,DEFLATION
2023-01-10,GLD,HOLD,17,174.74,2970.58,New position,0.0,0.57,Gold,DEFLATION
2023-01-10,BAR,HOLD,164,18.61,3052.04,New position,0.0,0.578,Gold,DEFLATION
