date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2023-01-04,SGOL,170,17.8,3022.6,3.0231,0.0,Gold,1,false
2023-01-04,BAR,164,18.41,3012.68,3.0132,0.0,Gold,1,false
2023-01-05,SGOL,170,17.8,2983.5,2.9862,0.0,Gold,1,false
2023-01-05,BAR,164,18.41,2977.42,2.9801,0.0,Gold,1,false
2023-01-06,SGOL,170,17.8,3041.3,3.0406,0.0,Gold,1,false
2023-01-06,BAR,164,18.41,3032.36,3.0317,0.0,Gold,1,false
2023-01-09,SGOL,170,17.8,3048.1,3.047,0.0,Gold,1,false
2023-01-09,BAR,164,18.41,3040.56,3.0394,0.0,Gold,1,false
2023-01-10,SGOL,170,17.8,3060.0,3.0581,0.0,Gold,1,false
2023-01-10,BAR,164,18.41,3052.04,3.0502,0.0,Gold,1,false
