date,asset,action,quantity,price,value,reason,score_before,score_after,bucket,regime
2023-01-04,SGOL,BUY,170,17.78,3022.6,New position,0.0,0.582,Gold,DEFLATION
2023-01-04,BAR,BUY,164,18.37,3012.68,New position,0.0,0.591,Gold,DEFLATION
2023-01-05,SGOL,HOLD,170,17.55,2983.5,New position,0.0,0.582,Gold,DEFLATION
2023-01-05,BAR,HOLD,164,18.16,2977.42,New position,0.0,0.591,Gold,DEFLATION
2023-01-06,SGOL,HOLD,170,17.89,3041.3,New position,0.0,0.582,Gold,DEFLATION
2023-01-06,BAR,HOLD,164,18.49,3032.36,New position,0.0,0.591,Gold,DEFLATION
2023-01-09,SGOL,HOLD,170,17.93,3048.1,New position,0.0,0.582,Gold,DEFLATION
2023-01-09,BAR,HOLD,164,18.54,3040.56,New position,0.0,0.591,Gold,DEFLATION
2023-01-10,SGOL,HOLD,170,18.0,3060.0,New position,0.0,0.582,Gold,DEFLATION
2023-01-10,BAR,HOLD,164,18.61,3052.04,New position,0.0,0.591,Gold,DEFLATION
