date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2025-01-16,AAAU,112,26.85,3006.08,3.0066,0.0,Gold,1,false
2025-01-16,GLD,12,250.56,3007.2,3.0077,0.0,Gold,1,false
2025-01-16,BAR,112,26.81,3001.6,3.0021,0.0,Gold,1,false
2025-01-16,SGOL,116,25.92,3006.72,3.0072,0.0,Gold,1,false
2025-01-16,IAU,58,51.25,2972.5,2.973,0.0,Gold,1,false
2025-01-17,AAAU,112,26.85,2990.4,2.9933,0.0,Gold,1,false
2025-01-17,GLD,12,250.56,2991.24,2.9941,0.0,Gold,1,false
2025-01-17,BAR,112,26.81,2987.04,2.9899,0.0,Gold,1,false
2025-01-17,SGOL,116,25.92,2989.32,2.9922,0.0,Gold,1,false
2025-01-17,IAU,58,51.25,2957.42,2.9602,0.0,Gold,1,false
