date,asset,action,quantity,price,value,reason,score_before,score_after,bucket,regime
2025-01-16,AAAU,BUY,112,26.84,3006.08,New position,0.0,0.539,Gold,REFLATION
2025-01-16,GLD,BUY,12,250.6,3007.2,New position,0.0,0.543,Gold,REFLATION
2025-01-16,BAR,BUY,112,26.8,3001.6,New position,0.0,0.536,Gold,REFLATION
2025-01-16,SGOL,BUY,116,25.92,3006.72,New position,0.0,0.539,Gold,REFLATION
2025-01-16,IAU,BUY,58,51.25,2972.5,New position,0.0,0.536,Gold,REFLATION
2025-01-17,AAAU,HOLD,112,26.7,2990.4,New position,0.0,0.539,Gold,REFLATION
2025-01-17,GLD,HOLD,12,249.27,2991.24,New position,0.0,0.543,Gold,REFLATION
2025-01-17,BAR,HOLD,112,26.67,2987.04,New position,0.0,0.536,Gold,REFLATION
2025-01-17,SGOL,HOLD,116,25.77,2989.32,New position,0.0,0.539,Gold,REFLATION
2025-01-17,IAU,HOLD,58,50.99,2957.42,New position,0.0,0.536,Gold,REFLATION
