date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2025-02-21,XLU,37,80.26,2969.99,2.9695,0.0,Unknown,1,false
2025-02-21,AGG,30,97.75,2940.6,2.9402,0.0,Unknown,1,false
2025-02-21,SPLV,41,73.03,3000.38,2.9999,0.0,Unknown,1,false
2025-02-21,USMV,53,93.5,4932.18,4.9314,0.0,Unknown,1,false
2025-02-21,XLP,36,81.23,2958.48,2.958,0.0,Unknown,1,false
2025-02-21,BND,41,72.54,2983.36,2.9829,0.0,Unknown,1,false
2025-02-22,XLU,37,80.26,2969.99,2.9695,0.0,Unknown,1,false
2025-02-22,AGG,30,97.75,2940.6,2.9402,0.0,Unknown,1,false
2025-02-22,SPLV,41,73.03,3000.38,2.9999,0.0,Unknown,1,false
2025-02-22,USMV,53,93.5,4932.18,4.9314,0.0,Unknown,1,false
2025-02-22,XLP,36,81.23,2958.48,2.958,0.0,Unknown,1,false
2025-02-22,BND,41,72.54,2983.36,2.9829,0.0,Unknown,1,false
2025-02-23,XLU,37,80.26,2969.99,2.9695,0.0,Unknown,1,false
2025-02-23,AGG,30,97.75,2940.6,2.9402,0.0,Unknown,1,false
2025-02-23,SPLV,41,73.03,3000.38,2.9999,0.0,Unknown,1,false
2025-02-23,USMV,53,93.5,4932.18,4.9314,0.0,Unknown,1,false
2025-02-23,XLP,36,81.23,2958.48,2.958,0.0,Unknown,1,false
2025-02-23,BND,41,72.54,2983.36,2.9829,0.0,Unknown,1,false
2025-02-24,XLU,37,80.26,2955.19,2.9536,0.0,Unknown,1,false
2025-02-24,AGG,30,97.75,2945.7,2.9441,0.0,Unknown,1,false
2025-02-24,SPLV,41,73.03,3011.86,3.0102,0.0,Unknown,1,false
2025-02-24,USMV,53,93.5,4956.56,4.9539,0.0,Unknown,1,false
2025-02-24,XLP,36,81.23,2967.48,2.9659,0.0,Unknown,1,false
2025-02-24,BND,41,72.54,2987.67,2.986,0.0,Unknown,1,false
2025-02-25,XLU,37,80.26,2940.39,2.9352,0.0,Unknown,1,false
2025-02-25,AGG,30,97.75,2964.0,2.9587,0.0,Unknown,1,false
2025-02-25,SPLV,41,73.03,3040.97,3.0356,0.0,Unknown,1,false
2025-02-25,USMV,53,93.5,4986.24,4.9774,0.0,Unknown,1,false
2025-02-25,XLP,36,81.23,3009.6,3.0043,0.0,Unknown,1,false
2025-02-25,BND,41,72.54,3006.53,3.0012,0.0,Unknown,1,false
2025-02-26,XLU,37,80.26,2952.6,2.9503,0.0,Unknown,1,false
2025-02-26,AGG,30,97.75,2968.8,2.9665,0.0,Unknown,1,false
2025-02-26,SPLV,41,73.03,3014.73,3.0124,0.0,Unknown,1,false
2025-02-26,USMV,53,93.5,4949.14,4.9453,0.0,Unknown,1,false
2025-02-26,XLP,36,81.23,2952.0,2.9497,0.0,Unknown,1,false
2025-02-26,BND,41,72.54,3011.04,3.0087,0.0,Unknown,1,false
2025-02-27,XLU,37,80.26,2887.11,2.887,0.0,Unknown,1,false
2025-02-27,AGG,30,97.75,2964.3,2.9642,0.0,Unknown,1,false
