date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2025-01-01,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-02,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-03,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-04,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-05,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-06,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-07,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-08,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-09,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-10,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-11,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-12,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-13,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-14,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-15,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-16,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-17,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-18,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-19,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-20,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-21,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-22,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-23,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-24,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-25,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-26,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-27,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-28,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-29,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-30,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-31,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-01,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-02,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-03,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-04,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-05,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-06,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-07,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-08,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-09,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-10,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-11,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-12,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-13,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-14,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-15,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-16,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-17,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-18,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-19,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-20,100000.0,100000.0,0,0.0,0.0,0.0,0.0,DEFLATION,0.0
2025-02-21,100015.18,80230.184935,6,0.0002,0.0002,0.0,2.898275,DEFLATION,0.0
2025-02-22,100015.18,80230.184935,6,0.0,0.0002,0.0,2.898275,DEFLATION,0.0
2025-02-23,100015.18,80230.184935,6,0.0,0.0002,0.0,2.898275,DEFLATION,0.0
2025-02-24,100054.64,80230.184935,6,0.0004,0.0005,0.0,3.789685,DEFLATION,0.0
2025-02-25,100177.91,80230.184935,6,0.0012,0.0018,0.0,4.017425,DEFLATION,0.0
2025-02-26,100078.49,80230.184935,6,-0.001,0.0008,-0.0992,1.373001,DEFLATION,0.0
2025-02-27,100004.43,80230.184935,6,-0.0007,0.0,-0.1732,0.072886,DEFLATION,0.0
2025-02-28,100217.29,80230.184935,6,0.0021,0.0022,0.0,2.247315,DEFLATION,0.0
2025-03-01,100217.29,80230.184935,6,0.0,0.0022,0.0,2.247315,DEFLATION,0.0
2025-03-02,100217.29,80230.184935,6,0.0,0.0022,0.0,2.247315,DEFLATION,0.0
2025-03-03,100246.64,80230.184935,6,0.0003,0.0025,0.0,2.543232,DEFLATION,0.0
2025-03-04,100021.02,80230.184935,6,-0.0023,0.0002,-0.2251,0.171851,DEFLATION,0.0
2025-03-05,100021.38,80230.184935,6,0.0,0.0002,-0.2247,0.174705,DEFLATION,0.0
2025-03-06,99910.56,80230.184935,6,-0.0011,-0.0009,-0.3353,-0.673344,DEFLATION,0.0
2025-03-07,99985.21,83041.221085,5,0.0007,-0.0001,-0.2608,-0.104475,DEFLATION,0.0
2025-03-08,99985.21,83041.221085,5,0.0,-0.0001,-0.2608,-0.104475,DEFLATION,0.0
2025-03-09,99985.21,83041.221085,5,0.0,-0.0001,-0.2608,-0.104475,DEFLATION,0.0
2025-03-10,99966.75,83041.221085,5,-0.0002,-0.0003,-0.2792,-0.241456,DEFLATION,0.0
2025-03-11,99778.6,83041.221085,5,-0.0019,-0.0022,-0.4669,-1.47799,DEFLATION,0.0
2025-03-12,99628.78,83041.221085,5,-0.0015,-0.0037,-0.6163,-2.359115,DEFLATION,0.0
2025-03-13,99622.59,83041.221085,5,-0.0001,-0.0038,-0.6225,-2.39933,DEFLATION,0.0
2025-03-14,99702.38,83041.221085,5,0.0008,-0.003,-0.5429,-1.852184,DEFLATION,0.0
2025-03-15,99702.38,83041.221085,5,0.0,-0.003,-0.5429,-1.852184,DEFLATION,0.0
2025-03-16,99702.38,83041.221085,5,0.0,-0.003,-0.5429,-1.852184,DEFLATION,0.0
2025-03-17,99848.85,83041.221085,5,0.0015,-0.0015,-0.3968,-0.886909,DEFLATION,0.0
2025-03-18,99772.93,83041.221085,5,-0.0008,-0.0023,-0.4725,-1.322537,DEFLATION,0.0
2025-03-19,99821.93,83041.221085,5,0.0005,-0.0018,-0.4237,-1.028672,DEFLATION,0.0
2025-03-20,99788.22,83041.221085,5,-0.0003,-0.0021,-0.4573,-1.223124,DEFLATION,0.0
2025-03-21,99753.4,83041.221085,5,-0.0003,-0.0025,-0.492,-1.423573,DEFLATION,0.0
2025-03-22,99753.4,83041.221085,5,0.0,-0.0025,-0.492,-1.423573,DEFLATION,0.0
2025-03-23,99753.4,83041.221085,5,0.0,-0.0025,-0.492,-1.513054,DEFLATION,0.0
2025-03-24,99780.66,83041.221085,5,0.0003,-0.0022,-0.4648,-1.351204,DEFLATION,0.0
2025-03-25,99746.79,84995.414935,5,-0.0003,-0.0025,-0.4986,-1.545715,DEFLATION,0.0
2025-03-26,99813.29,84995.414935,5,0.0007,-0.0019,-0.4323,-1.379011,DEFLATION,0.0
2025-03-27,99866.18,84995.414935,5,0.0005,-0.0013,-0.3795,-1.83353,DEFLATION,0.0
2025-03-28,99848.39,84995.414935,5,-0.0002,-0.0015,-0.3973,-1.376713,DEFLATION,0.0
2025-03-29,99848.39,84995.414935,5,0.0,-0.0015,-0.3973,-0.941457,DEFLATION,0.0
2025-03-30,99848.39,84995.414935,5,0.0,-0.0015,-0.3973,-2.533528,DEFLATION,0.0
2025-03-31,99975.22,84995.414935,5,0.0013,-0.0002,-0.2708,-1.574963,DEFLATION,0.0
2025-04-01,99977.68,84995.414935,5,0.0,-0.0002,-0.2683,-1.558688,DEFLATION,0.0
2025-04-02,99971.82,84995.414935,5,-0.0001,-0.0003,-0.2741,-1.795208,DEFLATION,0.0
2025-04-03,99958.48,84995.414935,5,-0.0001,-0.0004,-0.2875,-0.470231,DEFLATION,0.0
2025-04-04,99490.38,84995.414935,5,-0.0047,-0.0051,-0.7544,-2.553409,DEFLATION,0.0
2025-04-05,99490.38,84995.414935,5,0.0,-0.0051,-0.7544,-2.045868,DEFLATION,0.0
2025-04-06,99490.38,84995.414935,5,0.0,-0.0051,-0.7544,-2.438261,DEFLATION,0.0
2025-04-07,99304.09,84995.414935,5,-0.0019,-0.007,-0.9402,-3.230253,DEFLATION,0.0
2025-04-08,99260.89,87875.242225,4,-0.0004,-0.0074,-0.9833,-3.437118,DEFLATION,0.0
2025-04-09,99399.95,90607.247485,3,0.0014,-0.006,-0.8446,-2.59356,DEFLATION,0.0
2025-04-10,99313.39,90607.247485,3,-0.0009,-0.0069,-0.931,-2.200953,DEFLATION,0.0
2025-04-11,99350.63,90607.247485,3,0.0004,-0.0065,-0.8938,-1.344558,DEFLATION,0.0
2025-04-12,99350.63,90607.247485,3,0.0,-0.0065,-0.8938,-1.314347,DEFLATION,0.0
2025-04-13,99350.63,90607.247485,3,0.0,-0.0065,-0.8938,-1.722089,DEFLATION,0.0
2025-04-14,99420.7,90607.247485,3,0.0007,-0.0058,-0.8239,-1.363812,DEFLATION,0.0
2025-04-15,99425.76,90607.247485,3,0.0001,-0.0057,-0.8189,-1.338893,DEFLATION,0.0
2025-04-16,99410.62,90607.247485,3,-0.0002,-0.0059,-0.834,-2.207262,DEFLATION,0.0
2025-04-17,99403.28,90607.247485,3,-0.0001,-0.006,-0.8413,-1.87286,DEFLATION,0.0
2025-04-18,99403.28,90607.247485,3,0.0,-0.006,-0.8413,-2.134269,DEFLATION,0.0
2025-04-19,99403.28,90607.247485,3,0.0,-0.006,-0.8413,-1.962866,DEFLATION,0.0
2025-04-20,99403.28,90607.247485,3,0.0,-0.006,-0.8413,-1.785964,DEFLATION,0.0
2025-04-21,99310.3,90607.247485,3,-0.0009,-0.0069,-0.934,-2.240805,DEFLATION,0.0
2025-04-22,99379.59,90607.247485,3,0.0007,-0.0062,-0.8649,-1.868559,DEFLATION,0.0
2025-04-23,99403.82,90607.247485,3,0.0002,-0.006,-0.8408,-1.883942,DEFLATION,0.0
2025-04-24,99454.11,90607.247485,3,0.0005,-0.0055,-0.7906,-1.45387,DEFLATION,0.0
2025-04-25,99471.55,90607.247485,3,0.0002,-0.0053,-0.7732,-1.711891,DEFLATION,0.0
2025-04-26,99471.55,90607.247485,3,0.0,-0.0053,-0.7732,-1.990346,DEFLATION,0.0
2025-04-27,99471.55,90607.247485,3,0.0,-0.0053,-0.7732,-1.900013,DEFLATION,0.0
