date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2025-02-21,AGG,30,97.75,2940.6,2.9398,0.0,Unknown,1,false
2025-02-21,USMV,32,93.5,2977.92,2.9771,0.0,Unknown,1,false
2025-02-21,SPLV,68,73.03,4976.24,4.9748,0.0,Unknown,1,false
2025-02-21,BND,41,72.54,2983.36,2.9825,0.0,Unknown,1,false
2025-02-21,XLP,36,81.23,2958.48,2.9576,0.0,Unknown,1,false
2025-02-21,XLU,37,80.26,2969.99,2.9691,0.0,Unknown,1,false
2025-02-22,AGG,30,97.75,2940.6,2.9398,0.0,Unknown,1,false
2025-02-22,USMV,32,93.5,2977.92,2.9771,0.0,Unknown,1,false
2025-02-22,SPLV,68,73.03,4976.24,4.9748,0.0,Unknown,1,false
2025-02-22,BND,41,72.54,2983.36,2.9825,0.0,Unknown,1,false
2025-02-22,XLP,36,81.23,2958.48,2.9576,0.0,Unknown,1,false
2025-02-22,XLU,37,80.26,2969.99,2.9691,0.0,Unknown,1,false
2025-02-23,AGG,30,97.75,2940.6,2.9398,0.0,Unknown,1,false
2025-02-23,USMV,32,93.5,2977.92,2.9771,0.0,Unknown,1,false
2025-02-23,SPLV,68,73.03,4976.24,4.9748,0.0,Unknown,1,false
2025-02-23,BND,41,72.54,2983.36,2.9825,0.0,Unknown,1,false
2025-02-23,XLP,36,81.23,2958.48,2.9576,0.0,Unknown,1,false
2025-02-23,XLU,37,80.26,2969.99,2.9691,0.0,Unknown,1,false
2025-02-24,AGG,30,97.75,2945.7,2.9438,0.0,Unknown,1,false
2025-02-24,USMV,32,93.5,2992.64,2.9907,0.0,Unknown,1,false
2025-02-24,SPLV,68,73.03,4995.28,4.992,0.0,Unknown,1,false
2025-02-24,BND,41,72.54,2987.67,2.9857,0.0,Unknown,1,false
2025-02-24,XLP,36,81.23,2967.48,2.9655,0.0,Unknown,1,false
2025-02-24,XLU,37,80.26,2955.19,2.9532,0.0,Unknown,1,false
2025-02-25,AGG,30,97.75,2964.0,2.9582,0.0,Unknown,1,false
2025-02-25,USMV,32,93.5,3010.56,3.0047,0.0,Unknown,1,false
2025-02-25,SPLV,68,73.03,5043.56,5.0337,0.0,Unknown,1,false
2025-02-25,BND,41,72.54,3006.53,3.0006,0.0,Unknown,1,false
2025-02-25,XLP,36,81.23,3009.6,3.0037,0.0,Unknown,1,false
2025-02-25,XLU,37,80.26,2940.39,2.9346,0.0,Unknown,1,false
2025-02-26,AGG,30,97.75,2968.8,2.966,0.0,Unknown,1,false
2025-02-26,USMV,32,93.5,2988.16,2.9853,0.0,Unknown,1,false
2025-02-26,SPLV,68,73.03,5000.04,4.9953,0.0,Unknown,1,false
2025-02-26,BND,41,72.54,3011.04,3.0082,0.0,Unknown,1,false
2025-02-26,XLP,36,81.23,2952.0,2.9492,0.0,Unknown,1,false
2025-02-26,XLU,37,80.26,2952.6,2.9498,0.0,Unknown,1,false
2025-02-27,AGG,30,97.75,2964.3,2.9636,0.0,Unknown,1,false
2025-02-27,USMV,32,93.5,2985.92,2.9852,0.0,Unknown,1,false
2025-02-27,SPLV,68,73.03,5006.16,5.0049,0.0,Unknown,1,false
2025-02-27,BND,41,72.54,3007.35,3.0066,0.0,Unknown,1,false
2025-02-27,XLP,36,81.23,2951.64,2.9509,0.0,Unknown,1,false
2025-02-27,XLU,37,80.26,2887.11,2.8864,0.0,Unknown,1,false
2025-02-28,AGG,30,97.75,2977.5,2.9705,0.0,Unknown,1,false
2025-02-28,USMV,32,93.5,3026.24,3.0191,0.0,Unknown,1,false
2025-02-28,SPLV,68,73.03,5067.36,5.0555,0.0,Unknown,1,false
2025-02-28,BND,41,72.54,3020.06,3.013,0.0,Unknown,1,false
2025-02-28,XLP,36,81.23,2990.88,2.9839,0.0,Unknown,1,false
2025-02-28,XLU,37,80.26,2931.14,2.9243,0.0,Unknown,1,false
2025-03-01,AGG,30,97.75,2977.5,2.9705,0.0,Unknown,1,false
2025-03-01,USMV,32,93.5,3026.24,3.0191,0.0,Unknown,1,false
2025-03-01,SPLV,68,73.03,5067.36,5.0555,0.0,Unknown,1,false
2025-03-01,BND,41,72.54,3020.06,3.013,0.0,Unknown,1,false
2025-03-01,XLP,36,81.23,2990.88,2.9839,0.0,Unknown,1,false
2025-03-01,XLU,37,80.26,2931.14,2.9243,0.0,Unknown,1,false
2025-03-02,AGG,30,97.75,2977.5,2.9705,0.0,Unknown,1,false
2025-03-02,USMV,32,93.5,3026.24,3.0191,0.0,Unknown,1,false
2025-03-02,SPLV,68,73.03,5067.36,5.0555,0.0,Unknown,1,false
2025-03-02,BND,41,72.54,3020.06,3.013,0.0,Unknown,1,false
2025-03-02,XLP,36,81.23,2990.88,2.9839,0.0,Unknown,1,false
2025-03-02,XLU,37,80.26,2931.14,2.9243,0.0,Unknown,1,false
2025-03-03,AGG,30,97.75,2974.8,2.9664,0.0,Unknown,1,false
2025-03-03,USMV,32,93.5,3021.44,3.0129,0.0,Unknown,1,false
2025-03-03,SPLV,68,73.03,5104.08,5.0897,0.0,Unknown,1,false
2025-03-03,BND,41,72.54,3018.01,3.0095,0.0,Unknown,1,false
2025-03-03,XLP,36,81.23,3006.72,2.9983,0.0,Unknown,1,false
2025-03-03,XLU,37,80.26,2935.21,2.927,0.0,Unknown,1,false
2025-03-04,AGG,30,97.75,2967.3,2.966,0.0,Unknown,1,false
2025-03-04,USMV,32,93.5,2986.56,2.9852,0.0,Unknown,1,false
2025-03-04,SPLV,68,73.03,5016.36,5.0141,0.0,Unknown,1,false
2025-03-04,BND,41,72.54,3009.4,3.0081,0.0,Unknown,1,false
2025-03-04,XLP,36,81.23,2955.6,2.9543,0.0,Unknown,1,false
2025-03-04,XLU,37,80.26,2887.48,2.8862,0.0,Unknown,1,false
2025-03-05,AGG,30,97.75,2957.1,2.9558,0.0,Unknown,1,false
2025-03-05,USMV,32,93.5,2998.08,2.9968,0.0,Unknown,1,false
2025-03-05,SPLV,68,73.03,5033.36,5.0311,0.0,Unknown,1,false
2025-03-05,BND,41,72.54,2998.74,2.9974,0.0,Unknown,1,false
2025-03-05,XLP,36,81.23,2967.84,2.9665,0.0,Unknown,1,false
2025-03-05,XLU,37,80.26,2867.13,2.8659,0.0,Unknown,1,false
2025-03-06,AGG,30,97.75,2954.1,2.9561,0.0,Unknown,1,false
2025-03-06,USMV,32,93.5,2978.56,2.9805,0.0,Unknown,1,false
2025-03-06,SPLV,68,73.03,5002.08,5.0054,0.0,Unknown,1,false
2025-03-06,BND,41,72.54,2996.28,2.9983,0.0,Unknown,1,false
2025-03-06,XLP,36,81.23,2973.24,2.9752,0.0,Unknown,1,false
2025-03-06,XLU,37,80.26,2807.56,2.8094,0.0,Unknown,1,false
2025-03-07,AGG,30,97.75,2950.5,2.9501,0.0,Unknown,1,false
2025-03-07,USMV,32,93.5,3002.24,3.0019,0.0,Unknown,1,false
2025-03-07,SPLV,68,73.03,5050.36,5.0498,0.0,Unknown,1,false
2025-03-07,BND,41,72.54,2993.0,2.9926,0.0,Unknown,1,false
2025-03-07,XLP,36,81.23,2982.96,2.9826,0.0,Unknown,1,false
2025-03-08,AGG,30,97.75,2950.5,2.9501,0.0,Unknown,1,false
2025-03-08,USMV,32,93.5,3002.24,3.0019,0.0,Unknown,1,false
2025-03-08,SPLV,68,73.03,5050.36,5.0498,0.0,Unknown,1,false
2025-03-08,BND,41,72.54,2993.0,2.9926,0.0,Unknown,1,false
2025-03-08,XLP,36,81.23,2982.96,2.9826,0.0,Unknown,1,false
2025-03-09,AGG,30,97.75,2950.5,2.9501,0.0,Unknown,1,false
2025-03-09,USMV,32,93.5,3002.24,3.0019,0.0,Unknown,1,false
2025-03-09,SPLV,68,73.03,5050.36,5.0498,0.0,Unknown,1,false
2025-03-09,BND,41,72.54,2993.0,2.9926,0.0,Unknown,1,false
2025-03-09,XLP,36,81.23,2982.96,2.9826,0.0,Unknown,1,false
2025-03-10,AGG,30,97.75,2964.6,2.9645,0.0,Unknown,1,false
2025-03-10,USMV,32,93.5,2980.8,2.9807,0.0,Unknown,1,false
2025-03-10,SPLV,68,73.03,5042.88,5.0426,0.0,Unknown,1,false
2025-03-10,BND,41,72.54,3006.94,3.0068,0.0,Unknown,1,false
2025-03-10,XLP,36,81.23,2976.48,2.9763,0.0,Unknown,1,false
2025-03-11,AGG,30,97.75,2954.1,2.9598,0.0,Unknown,1,false
2025-03-11,USMV,32,93.5,2939.2,2.9448,0.0,Unknown,1,false
2025-03-11,SPLV,68,73.03,4953.8,4.9633,0.0,Unknown,1,false
2025-03-11,BND,41,72.54,2995.46,3.0012,0.0,Unknown,1,false
2025-03-11,XLP,36,81.23,2932.92,2.9386,0.0,Unknown,1,false
2025-03-12,AGG,30,97.75,2945.4,2.9557,0.0,Unknown,1,false
2025-03-12,USMV,32,93.5,2916.48,2.9267,0.0,Unknown,1,false
2025-03-12,SPLV,68,73.03,4898.04,4.9152,0.0,Unknown,1,false
2025-03-12,BND,41,72.54,2989.31,2.9998,0.0,Unknown,1,false
2025-03-12,XLP,36,81.23,2869.2,2.8792,0.0,Unknown,1,false
2025-03-13,AGG,30,97.75,2954.4,2.9648,0.0,Unknown,1,false
2025-03-13,USMV,32,93.5,2910.4,2.9207,0.0,Unknown,1,false
2025-03-13,SPLV,68,73.03,4896.68,4.9139,0.0,Unknown,1,false
2025-03-13,BND,41,72.54,2998.33,3.0089,0.0,Unknown,1,false
2025-03-13,XLP,36,81.23,2855.88,2.866,0.0,Unknown,1,false
2025-03-14,AGG,30,97.75,2948.4,2.9565,0.0,Unknown,1,false
2025-03-14,USMV,32,93.5,2943.68,2.9517,0.0,Unknown,1,false
2025-03-14,SPLV,68,73.03,4949.04,4.9626,0.0,Unknown,1,false
2025-03-14,BND,41,72.54,2990.95,2.9991,0.0,Unknown,1,false
2025-03-14,XLP,36,81.23,2862.36,2.8702,0.0,Unknown,1,false
