date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2025-01-01,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-02,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-03,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-04,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-05,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-06,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-07,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-08,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-09,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-10,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-11,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-12,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-13,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-14,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-15,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-16,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-17,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-18,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-19,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-20,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-21,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-22,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-23,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-24,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-25,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-26,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-27,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-28,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-29,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-30,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-31,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-01,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-02,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-03,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-04,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-05,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-06,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-07,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-08,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-09,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-10,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-11,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-12,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-13,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-14,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-15,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-16,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-17,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-18,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-19,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-02-20,100000.0,100000.0,0,0.0,0.0,0.0,0.0,DEFLATION,0.0
2025-02-21,100028.46,80221.866625,6,0.0003,0.0003,0.0,2.898275,DEFLATION,0.0
2025-02-22,100028.46,80221.866625,6,0.0,0.0003,0.0,2.898275,DEFLATION,0.0
2025-02-23,100028.46,80221.866625,6,0.0,0.0003,0.0,2.898275,DEFLATION,0.0
2025-02-24,100065.83,80221.866625,6,0.0004,0.0007,0.0,4.131124,DEFLATION,0.0
2025-02-25,100196.51,80221.866625,6,0.0013,0.002,0.0,4.174606,DEFLATION,0.0
2025-02-26,100094.51,80221.866625,6,-0.001,0.0009,-0.1018,1.57433,DEFLATION,0.0
2025-02-27,100024.35,80221.866625,6,-0.0007,0.0002,-0.1718,0.376027,DEFLATION,0.0
2025-02-28,100235.05,80221.866625,6,0.0021,0.0024,0.0,2.4139,DEFLATION,0.0
2025-03-01,100235.05,80221.866625,6,0.0,0.0024,0.0,2.4139,DEFLATION,0.0
2025-03-02,100235.05,80221.866625,6,0.0,0.0024,0.0,2.4139,DEFLATION,0.0
2025-03-03,100282.13,80221.866625,6,0.0005,0.0028,0.0,2.870146,DEFLATION,0.0
2025-03-04,100044.57,80221.866625,6,-0.0024,0.0004,-0.2369,0.348103,DEFLATION,0.0
2025-03-05,100044.12,80221.866625,6,-0.0,0.0004,-0.2373,0.34464,DEFLATION,0.0
2025-03-06,99933.69,80221.866625,6,-0.0011,-0.0007,-0.3475,-0.483739,DEFLATION,0.0
2025-03-07,100011.96,83032.902775,5,0.0008,0.0001,-0.2694,0.092048,DEFLATION,0.0
2025-03-08,100011.96,83032.902775,5,0.0,0.0001,-0.2694,0.092048,DEFLATION,0.0
2025-03-09,100011.96,83032.902775,5,0.0,0.0001,-0.2694,0.092048,DEFLATION,0.0
2025-03-10,100004.6,83032.902775,5,-0.0001,0.0,-0.2767,0.03887,DEFLATION,0.0
2025-03-11,99808.38,83032.902775,5,-0.002,-0.0019,-0.4724,-1.238135,DEFLATION,0.0
2025-03-12,99651.33,83032.902775,5,-0.0016,-0.0035,-0.629,-2.140633,DEFLATION,0.0
2025-03-13,99648.59,83032.902775,5,-0.0,-0.0035,-0.6318,-2.157822,DEFLATION,0.0
2025-03-14,99727.33,83032.902775,5,0.0008,-0.0027,-0.5532,-1.642085,DEFLATION,0.0
2025-03-15,99727.33,83032.902775,5,0.0,-0.0027,-0.5532,-1.642085,DEFLATION,0.0
2025-03-16,99727.33,83032.902775,5,0.0,-0.0027,-0.5532,-1.642085,DEFLATION,0.0
2025-03-17,99867.05,83032.902775,5,0.0014,-0.0013,-0.4139,-0.760132,DEFLATION,0.0
2025-03-18,99804.09,83032.902775,5,-0.0006,-0.002,-0.4767,-1.116203,DEFLATION,0.0
2025-03-19,99850.21,83032.902775,5,0.0005,-0.0015,-0.4307,-0.846944,DEFLATION,0.0
2025-03-20,99819.44,83032.902775,5,-0.0003,-0.0018,-0.4614,-1.021278,DEFLATION,0.0
2025-03-21,99773.1,83032.902775,5,-0.0005,-0.0023,-0.5076,-1.281568,DEFLATION,0.0
2025-03-22,99773.1,83032.902775,5,0.0,-0.0023,-0.5076,-1.281568,DEFLATION,0.0
2025-03-23,99773.1,83032.902775,5,0.0,-0.0023,-0.5076,-1.44668,DEFLATION,0.0
2025-03-24,99798.14,83032.902775,5,0.0003,-0.002,-0.4826,-1.301254,DEFLATION,0.0
2025-03-25,99762.64,85084.369255,5,-0.0004,-0.0024,-0.518,-1.501162,DEFLATION,0.0
2025-03-26,99828.48,85084.369255,5,0.0007,-0.0017,-0.4524,-1.329787,DEFLATION,0.0
2025-03-27,99881.07,85084.369255,5,0.0005,-0.0012,-0.3999,-1.825323,DEFLATION,0.0
2025-03-28,99863.63,85084.369255,5,-0.0002,-0.0014,-0.4173,-1.359531,DEFLATION,0.0
2025-03-29,99863.63,85084.369255,5,0.0,-0.0014,-0.4173,-0.95303,DEFLATION,0.0
2025-03-30,99863.63,85084.369255,5,0.0,-0.0014,-0.4173,-2.488504,DEFLATION,0.0
2025-03-31,99989.46,85084.369255,5,0.0013,-0.0001,-0.2918,-1.563482,DEFLATION,0.0
2025-04-01,99991.93,85084.369255,5,0.0,-0.0001,-0.2894,-1.547493,DEFLATION,0.0
2025-04-02,99986.01,85084.369255,5,-0.0001,-0.0001,-0.2953,-1.900926,DEFLATION,0.0
2025-04-03,99973.31,85084.369255,5,-0.0001,-0.0003,-0.3079,-0.533476,DEFLATION,0.0
2025-04-04,99509.35,85084.369255,5,-0.0046,-0.0049,-0.7706,-2.58031,DEFLATION,0.0
2025-04-05,99509.35,85084.369255,5,0.0,-0.0049,-0.7706,-2.073072,DEFLATION,0.0
2025-04-06,99509.35,85084.369255,5,0.0,-0.0049,-0.7706,-2.487782,DEFLATION,0.0
2025-04-07,99297.8,87816.674215,4,-0.0021,-0.007,-0.9816,-3.360181,DEFLATION,0.0
2025-04-08,99194.08,87816.674215,4,-0.001,-0.0081,-1.085,-3.822397,DEFLATION,0.0
2025-04-09,99311.06,90548.679475,3,0.0012,-0.0069,-0.9683,-3.153626,DEFLATION,0.0
2025-04-10,99235.38,90548.679475,3,-0.0008,-0.0076,-1.0438,-2.704968,DEFLATION,0.0
2025-04-11,99271.9,90548.679475,3,0.0004,-0.0073,-1.0074,-1.833572,DEFLATION,0.0
2025-04-12,99271.9,90548.679475,3,0.0,-0.0073,-1.0074,-1.820134,DEFLATION,0.0
2025-04-13,99271.9,90548.679475,3,0.0,-0.0073,-1.0074,-2.22882,DEFLATION,0.0
2025-04-14,99348.61,90548.679475,3,0.0008,-0.0065,-0.9309,-1.829391,DEFLATION,0.0
2025-04-15,99347.19,90548.679475,3,-0.0,-0.0065,-0.9323,-1.836386,DEFLATION,0.0
2025-04-16,99338.29,90548.679475,3,-0.0001,-0.0066,-0.9412,-2.649739,DEFLATION,0.0
2025-04-17,99348.23,90548.679475,3,0.0001,-0.0065,-0.9313,-2.289195,DEFLATION,0.0
2025-04-18,99348.23,90548.679475,3,0.0,-0.0065,-0.9313,-2.535342,DEFLATION,0.0
2025-04-19,99348.23,90548.679475,3,0.0,-0.0065,-0.9313,-2.379629,DEFLATION,0.0
2025-04-20,99348.23,90548.679475,3,0.0,-0.0065,-0.9313,-2.147942,DEFLATION,0.0
2025-04-21,99261.33,90548.679475,3,-0.0009,-0.0074,-1.0179,-2.570097,DEFLATION,0.0
2025-04-22,99326.46,90548.679475,3,0.0007,-0.0067,-0.953,-2.21922,DEFLATION,0.0
2025-04-23,99330.61,90548.679475,3,0.0,-0.0067,-0.9488,-2.327501,DEFLATION,0.0
2025-04-24,99365.22,90548.679475,3,0.0003,-0.0063,-0.9143,-1.971276,DEFLATION,0.0
2025-04-25,99372.26,90548.679475,3,0.0001,-0.0063,-0.9073,-2.284235,DEFLATION,0.0
2025-04-26,99372.26,90548.679475,3,0.0,-0.0063,-0.9073,-2.565653,DEFLATION,0.0
2025-04-27,99372.26,90548.679475,3,0.0,-0.0063,-0.9073,-2.476578,DEFLATION,0.0
