date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2024-01-03,INTC,104,47.1,4893.2,4.8974,0.0,Risk Assets,1,false
2024-01-03,AAPL,26,184.22,4790.5,4.7946,0.0,Risk Assets,1,false
2024-01-03,RKLB,941,5.17,4799.1,4.8032,0.0,Risk Assets,1,false
2024-01-04,INTC,104,47.1,4874.48,4.8655,0.0,Risk Assets,1,false
2024-01-04,AAPL,26,184.22,4729.66,4.721,0.0,Risk Assets,1,false
2024-01-04,RKLB,941,5.17,5147.27,5.1378,0.0,Risk Assets,1,false
2024-01-05,INTC,104,47.1,4876.56,4.8716,0.0,Risk Assets,1,false
2024-01-05,AAPL,26,184.22,4710.68,4.7059,0.0,Risk Assets,1,false
2024-01-05,RKLB,941,5.17,5081.4,5.0763,0.0,Risk Assets,1,false
2024-01-08,INTC,104,47.1,5038.8,5.0128,0.0,Risk Assets,1,false
2024-01-08,AAPL,26,184.22,4824.56,4.7997,0.0,Risk Assets,1,false
2024-01-08,RKLB,941,5.17,5222.55,5.1956,0.0,Risk Assets,1,false
2024-01-09,INTC,104,47.1,4997.2,4.9787,0.0,Risk Assets,1,false
2024-01-09,AAPL,26,184.22,4813.64,4.7958,0.0,Risk Assets,1,false
2024-01-09,RKLB,941,5.17,5128.45,5.1095,0.0,Risk Assets,1,false
2024-01-10,INTC,104,47.1,4936.88,4.9253,0.0,Risk Assets,1,false
2024-01-10,AAPL,26,184.22,4840.94,4.8296,0.0,Risk Assets,1,false
2024-01-10,RKLB,941,5.17,5024.94,5.0132,0.0,Risk Assets,1,false
2024-01-11,INTC,104,47.1,4954.56,4.9512,0.0,Risk Assets,1,false
2024-01-11,AAPL,26,184.22,4825.34,4.8221,0.0,Risk Assets,1,false
2024-01-11,RKLB,941,5.17,4855.56,4.8523,0.0,Risk Assets,1,false
2024-01-12,INTC,104,47.1,4900.48,4.8989,0.0,Risk Assets,1,false
2024-01-12,AAPL,26,184.22,4833.92,4.8324,0.0,Risk Assets,1,false
2024-01-12,RKLB,941,5.17,4864.97,4.8634,0.0,Risk Assets,1,false
2024-01-16,INTC,104,47.1,4894.24,4.9065,0.0,Risk Assets,1,false
2024-01-16,AAPL,26,184.22,4774.38,4.7864,0.0,Risk Assets,1,false
2024-01-16,RKLB,941,5.17,4648.54,4.6602,0.0,Risk Assets,1,false
2024-01-17,INTC,104,47.1,4790.24,4.8094,0.0,Risk Assets,1,false
2024-01-17,AAPL,26,184.22,4749.68,4.7687,0.0,Risk Assets,1,false
2024-01-17,RKLB,941,5.17,4629.72,4.6482,0.0,Risk Assets,1,false
2024-01-18,INTC,104,47.1,4860.96,4.8726,0.0,Risk Assets,1,false
2024-01-18,AAPL,26,184.22,4904.38,4.9161,0.0,Risk Assets,1,false
2024-01-18,RKLB,941,5.17,4563.85,4.5748,0.0,Risk Assets,1,false
2024-01-19,INTC,104,47.1,5007.6,5.0063,0.0,Risk Assets,1,false
2024-01-19,AAPL,26,184.22,4980.56,4.9792,0.0,Risk Assets,1,false
2024-01-22,INTC,104,47.1,5014.88,5.0101,0.0,Risk Assets,1,false
2024-01-22,AAPL,26,184.22,5041.14,5.0364,0.0,Risk Assets,1,false
2024-01-23,INTC,104,47.1,5084.56,5.0745,0.0,Risk Assets,1,false
2024-01-23,AAPL,26,184.22,5074.68,5.0647,0.0,Risk Assets,1,false
2024-01-24,INTC,104,47.1,5105.36,5.0951,0.0,Risk Assets,1,false
2024-01-24,AAPL,26,184.22,5057.0,5.0469,0.0,Risk Assets,1,false
2024-01-25,INTC,104,47.1,5153.2,5.1408,0.0,Risk Assets,1,false
2024-01-25,AAPL,26,184.22,5048.42,5.0363,0.0,Risk Assets,1,false
2024-01-26,INTC,104,47.1,4539.6,4.5587,0.0,Risk Assets,1,false
2024-01-26,AAPL,26,184.22,5002.92,5.024,0.0,Risk Assets,1,false
2024-01-29,AAPL,26,184.22,4984.98,5.0068,0.0,Risk Assets,1,false
2024-01-30,AAPL,26,184.22,4889.04,4.9151,0.0,Risk Assets,1,false
2024-01-31,AAPL,26,184.22,4794.4,4.8246,0.0,Risk Assets,1,false
