date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2024-01-02,100000.0,100000.0,0,0.0,0.0,0.0,0.0,GOLDILOCKS,0.0
2024-01-03,99915.16,85432.35691,3,-0.0008,-0.0008,-0.0848,0.0,GOLDILOCKS,0.0
2024-01-04,100183.77,85432.35691,3,0.0027,0.0018,0.0,0.0,GOLDILOCKS,0.0
2024-01-05,100101.0,85432.35691,3,-0.0008,0.001,-0.0826,0.0,GOLDILOCKS,0.0
2024-01-08,100518.27,85432.35691,3,0.0042,0.0052,0.0,0.0,GOLDILOCKS,0.0
2024-01-09,100371.65,85432.35691,3,-0.0015,0.0037,-0.1459,0.0,GOLDILOCKS,0.0
2024-01-10,100235.12,85432.35691,3,-0.0014,0.0024,-0.2817,0.0,GOLDILOCKS,0.0
2024-01-11,100067.82,85432.35691,3,-0.0017,0.0007,-0.4481,0.0,GOLDILOCKS,0.0
2024-01-12,100031.73,85432.35691,3,-0.0004,0.0003,-0.484,0.0,GOLDILOCKS,0.0
2024-01-16,99749.52,85432.35691,3,-0.0028,-0.0025,-0.7648,0.0,GOLDILOCKS,0.0
2024-01-17,99602.0,85432.35691,3,-0.0015,-0.004,-0.9115,0.0,GOLDILOCKS,0.0
2024-01-18,99761.55,85432.35691,3,0.0016,-0.0024,-0.7528,0.0,GOLDILOCKS,0.0
2024-01-19,100026.81,90038.64601,2,0.0027,0.0003,-0.4889,0.0,GOLDILOCKS,0.0
2024-01-22,100094.67,90038.64601,2,0.0007,0.0009,-0.4214,0.0,GOLDILOCKS,0.0
2024-01-23,100197.89,90038.64601,2,0.001,0.002,-0.3187,0.0,GOLDILOCKS,0.0
2024-01-24,100201.01,90038.64601,2,0.0,0.002,-0.3156,0.0,GOLDILOCKS,0.0
2024-01-25,100240.27,90038.64601,2,0.0004,0.0024,-0.2766,0.0,GOLDILOCKS,0.0
2024-01-26,99581.17,90038.64601,2,-0.0066,-0.0042,-0.9323,0.0,GOLDILOCKS,0.0
2024-01-29,99564.92,94579.94017,1,-0.0002,-0.0044,-0.9484,0.0,GOLDILOCKS,0.0
2024-01-30,99468.98,94579.94017,1,-0.001,-0.0053,-1.0439,0.0,GOLDILOCKS,0.0
2024-01-31,99374.34,94579.94017,1,-0.001,-0.0063,-1.138,0.0,GOLDILOCKS,0.0
