date,asset,action,quantity,price,value,reason,score_before,score_after,bucket,regime
2024-01-03,INTC,BUY,104,47.05,4893.2,New position,0.0,0.613,Risk Assets,GOLDILOCKS
2024-01-03,AAPL,BUY,26,184.25,4790.5,New position,0.0,0.616,Risk Assets,GOLDILOCKS
2024-01-03,RKLB,BUY,941,5.1,4799.1,New position,0.0,0.62,Risk Assets,GOLDILOCKS
2024-01-04,INTC,HOLD,104,46.87,4874.48,New position,0.0,0.613,Risk Assets,GOLDILOCKS
2024-01-04,AAPL,HOLD,26,181.91,4729.66,New position,0.0,0.616,Risk Assets,GOLDILOCKS
2024-01-04,RKLB,HOLD,941,5.47,5147.27,New position,0.0,0.62,Risk Assets,GOLDILOCKS
2024-01-05,INTC,HOLD,104,46.89,4876.56,New position,0.0,0.613,Risk Assets,GOLDILOCKS
2024-01-05,AAPL,HOLD,26,181.18,4710.68,New position,0.0,0.616,Risk Assets,GOLDILOCKS
2024-01-05,RKLB,HOLD,941,5.4,5081.4,New position,0.0,0.62,Risk Assets,GOLDILOCKS
2024-01-08,INTC,HOLD,104,48.45,5038.8,New position,0.0,0.613,Risk Assets,GOLDILOCKS
2024-01-08,AAPL,HOLD,26,185.56,4824.56,New position,0.0,0.616,Risk Assets,GOLDILOCKS
2024-01-08,RKLB,HOLD,941,5.55,5222.55,New position,0.0,0.62,Risk Assets,GOLDILOCKS
2024-01-09,INTC,HOLD,104,48.05,4997.2,New position,0.0,0.613,Risk Assets,GOLDILOCKS
2024-01-09,AAPL,HOLD,26,185.14,4813.64,New position,0.0,0.616,Risk Assets,GOLDILOCKS
2024-01-09,RKLB,HOLD,941,5.45,5128.45,New position,0.0,0.62,Risk Assets,GOLDILOCKS
2024-01-10,INTC,HOLD,104,47.47,4936.88,New position,0.0,0.613,Risk Assets,GOLDILOCKS
2024-01-10,AAPL,HOLD,26,186.19,4840.94,New position,0.0,0.616,Risk Assets,GOLDILOCKS
2024-01-10,RKLB,HOLD,941,5.34,5024.94,New position,0.0,0.62,Risk Assets,GOLDILOCKS
2024-01-11,INTC,HOLD,104,47.64,4954.56,New position,0.0,0.613,Risk Assets,GOLDILOCKS
2024-01-11,AAPL,HOLD,26,185.59,4825.34,New position,0.0,0.616,Risk Assets,GOLDILOCKS
2024-01-11,RKLB,HOLD,941,5.16,4855.56,New position,0.0,0.62,Risk Assets,GOLDILOCKS
2024-01-12,INTC,HOLD,104,47.12,4900.48,New position,0.0,0.613,Risk Assets,GOLDILOCKS
2024-01-12,AAPL,HOLD,26,185.92,4833.92,New position,0.0,0.616,Risk Assets,GOLDILOCKS
2024-01-12,RKLB,HOLD,941,5.17,4864.97,New position,0.0,0.62,Risk Assets,GOLDILOCKS
2024-01-16,INTC,HOLD,104,47.06,4894.24,New position,0.0,0.613,Risk Assets,GOLDILOCKS
2024-01-16,AAPL,HOLD,26,183.63,4774.38,New position,0.0,0.616,Risk Assets,GOLDILOCKS
2024-01-16,RKLB,HOLD,941,4.94,4648.54,New position,0.0,0.62,Risk Assets,GOLDILOCKS
2024-01-17,INTC,HOLD,104,46.06,4790.24,New position,0.0,0.613,Risk Assets,GOLDILOCKS
2024-01-17,AAPL,HOLD,26,182.68,4749.68,New position,0.0,0.616,Risk Assets,GOLDILOCKS
2024-01-17,RKLB,HOLD,941,4.92,4629.72,New position,0.0,0.62,Risk Assets,GOLDILOCKS
2024-01-18,INTC,HOLD,104,46.74,4860.96,New position,0.0,0.613,Risk Assets,GOLDILOCKS
2024-01-18,AAPL,HOLD,26,188.63,4904.38,New position,0.0,0.616,Risk Assets,GOLDILOCKS
2024-01-18,RKLB,HOLD,941,4.85,4563.85,New position,0.0,0.62,Risk Assets,GOLDILOCKS
2024-01-19,INTC,HOLD,104,48.15,5007.6,New position,0.0,0.613,Risk Assets,GOLDILOCKS
2024-01-19,AAPL,HOLD,26,191.56,4980.56,New position,0.0,0.616,Risk Assets,GOLDILOCKS
2024-01-19,RKLB,SELL,941,4.86,4573.26,New position,0.0,0.62,Risk Assets,GOLDILOCKS
