date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2024-11-14,ACN,8,371.38,2896.56,2.9265,0.0,Risk Assets,1,false
2024-11-14,BLK,2,1040.71,2094.16,2.1158,0.0,Risk Assets,1,false
2024-11-14,AAVE,28,173.46,4427.92,4.4737,0.0,High Beta,1,false
2024-11-14,BRK.B,6,468.81,2806.2,2.8352,0.0,Risk Assets,1,false
2024-11-14,DAI,4999,1.0,4999.0,5.0506,0.0,High Beta,1,false
2024-11-14,HON,12,232.99,2768.04,2.7966,0.0,Risk Assets,1,false
2024-11-14,LOW,18,272.66,4866.3,4.9166,0.0,Risk Assets,1,false
2024-11-14,SBUX,30,99.43,2976.9,3.0076,0.0,Risk Assets,1,false
2024-11-14,MO,54,54.8,2991.06,3.022,0.0,Risk Assets,1,false
2024-11-14,HD,7,408.0,2840.04,2.8694,0.0,Risk Assets,1,false
2024-11-14,ADA,8634,0.58,4999.09,5.0507,0.0,High Beta,1,false
2024-11-14,BCH,11,440.42,4564.01,4.6112,0.0,High Beta,1,false
2024-11-14,JPM,20,242.42,4837.4,4.8874,0.0,Risk Assets,1,false
2024-11-14,ETH,1,3191.34,3059.04,3.0906,0.0,High Beta,1,false
2024-11-14,WMT,35,85.03,2956.45,2.987,0.0,Unknown,1,false
2024-11-14,LTC,39,75.5,3212.82,3.246,0.0,High Beta,1,false
2024-11-14,APH,41,72.97,2974.55,3.0053,0.0,Risk Assets,1,false
2024-11-14,CVX,18,159.84,2912.4,2.9425,0.0,Risk Assets,1,false
2024-11-14,MMC,13,225.17,2879.5,2.9092,0.0,Unknown,1,false
2024-11-14,LINK,370,13.5,4805.56,4.8552,0.0,High Beta,1,false
2024-11-15,ACN,8,371.38,2828.56,2.8177,0.0,Risk Assets,1,false
2024-11-15,BLK,2,1040.71,2094.74,2.0867,0.0,Risk Assets,1,false
2024-11-15,BRK.B,6,468.81,2821.68,2.8108,0.0,Risk Assets,1,false
2024-11-15,DAI,4999,1.0,4998.5,4.9793,0.0,High Beta,1,false
2024-11-15,HON,12,232.99,2747.88,2.7373,0.0,Risk Assets,1,false
2024-11-15,LOW,18,272.66,4849.2,4.8305,0.0,Risk Assets,1,false
2024-11-15,SBUX,30,99.43,2952.6,2.9412,0.0,Risk Assets,1,false
2024-11-15,MO,54,54.8,3020.22,3.0086,0.0,Risk Assets,1,false
2024-11-15,HD,7,408.0,2857.26,2.8463,0.0,Risk Assets,1,false
2024-11-15,ADA,8634,0.58,6106.83,6.0833,0.0,High Beta,1,false
2024-11-15,JPM,20,242.42,4906.2,4.8873,0.0,Risk Assets,1,false
2024-11-15,ETH,1,3191.34,3090.76,3.0789,0.0,High Beta,1,false
2024-11-15,WMT,35,85.03,2948.75,2.9374,0.0,Unknown,1,false
2024-11-15,LTC,39,75.5,3265.08,3.2525,0.0,High Beta,1,false
2024-11-15,APH,41,72.97,2891.32,2.8802,0.0,Risk Assets,1,false
2024-11-15,CVX,18,159.84,2905.56,2.8944,0.0,Risk Assets,1,false
2024-11-15,MMC,13,225.17,2887.82,2.8767,0.0,Unknown,1,false
2024-11-15,LINK,370,13.5,5119.69,5.1,0.0,High Beta,1,false
2024-11-16,ACN,8,371.38,2828.56,2.7967,0.0,Risk Assets,1,false
2024-11-16,BLK,2,1040.71,2094.74,2.0711,0.0,Risk Assets,1,false
2024-11-16,BRK.B,6,468.81,2821.68,2.7899,0.0,Risk Assets,1,false
2024-11-16,DAI,4999,1.0,4998.5,4.9422,0.0,High Beta,1,false
2024-11-16,HON,12,232.99,2747.88,2.7169,0.0,Risk Assets,1,false
2024-11-16,LOW,18,272.66,4849.2,4.7946,0.0,Risk Assets,1,false
2024-11-16,SBUX,30,99.43,2952.6,2.9193,0.0,Risk Assets,1,false
2024-11-16,MO,54,54.8,3020.22,2.9862,0.0,Risk Assets,1,false
2024-11-16,HD,7,408.0,2857.26,2.8251,0.0,Risk Assets,1,false
2024-11-16,JPM,20,242.42,4906.2,4.8509,0.0,Risk Assets,1,false
2024-11-16,ETH,1,3191.34,3134.25,3.0989,0.0,High Beta,1,false
2024-11-16,WMT,35,85.03,2948.75,2.9155,0.0,Unknown,1,false
2024-11-16,LTC,39,75.5,3724.11,3.6822,0.0,High Beta,1,false
2024-11-16,APH,41,72.97,2891.32,2.8588,0.0,Risk Assets,1,false
2024-11-16,CVX,18,159.84,2905.56,2.8728,0.0,Risk Assets,1,false
2024-11-16,MMC,13,225.17,2887.82,2.8553,0.0,Unknown,1,false
2024-11-16,LINK,370,13.5,5376.1,5.3156,0.0,High Beta,1,false
2024-11-17,ACN,8,371.38,2828.56,2.806,0.0,Risk Assets,1,false
2024-11-17,BLK,2,1040.71,2094.74,2.078,0.0,Risk Assets,1,false
2024-11-17,BRK.B,6,468.81,2821.68,2.7991,0.0,Risk Assets,1,false
2024-11-17,DAI,4999,1.0,4999.0,4.9591,0.0,High Beta,1,false
2024-11-17,HON,12,232.99,2747.88,2.7259,0.0,Risk Assets,1,false
2024-11-17,LOW,18,272.66,4849.2,4.8105,0.0,Risk Assets,1,false
2024-11-17,SBUX,30,99.43,2952.6,2.929,0.0,Risk Assets,1,false
2024-11-17,MO,54,54.8,3020.22,2.9961,0.0,Risk Assets,1,false
2024-11-17,HD,7,408.0,2857.26,2.8344,0.0,Risk Assets,1,false
2024-11-17,JPM,20,242.42,4906.2,4.867,0.0,Risk Assets,1,false
2024-11-17,ETH,1,3191.34,3076.79,3.0522,0.0,High Beta,1,false
2024-11-17,WMT,35,85.03,2948.75,2.9252,0.0,Unknown,1,false
2024-11-17,APH,41,72.97,2891.32,2.8682,0.0,Risk Assets,1,false
2024-11-17,CVX,18,159.84,2905.56,2.8824,0.0,Risk Assets,1,false
2024-11-17,MMC,13,225.17,2887.82,2.8648,0.0,Unknown,1,false
2024-11-17,LINK,370,13.5,5101.93,5.0612,0.0,High Beta,1,false
2024-11-18,ACN,8,371.38,2822.32,2.7776,0.0,Risk Assets,1,false
2024-11-18,BLK,2,1040.71,2099.94,2.0667,0.0,Risk Assets,1,false
2024-11-18,BRK.B,6,468.81,2833.2,2.7883,0.0,Risk Assets,1,false
2024-11-18,DAI,4999,1.0,4998.5,4.9193,0.0,High Beta,1,false
2024-11-18,HON,12,232.99,2746.2,2.7027,0.0,Risk Assets,1,false
2024-11-18,LOW,18,272.66,4891.86,4.8144,0.0,Risk Assets,1,false
2024-11-18,SBUX,30,99.43,3012.0,2.9643,0.0,Risk Assets,1,false
2024-11-18,MO,54,54.8,3042.36,2.9942,0.0,Risk Assets,1,false
2024-11-18,HD,7,408.0,2873.08,2.8276,0.0,Risk Assets,1,false
2024-11-18,JPM,20,242.42,4900.6,4.823,0.0,Risk Assets,1,false
2024-11-18,ETH,1,3191.34,3209.21,3.1584,0.0,High Beta,1,false
2024-11-18,WMT,35,85.03,2942.8,2.8962,0.0,Unknown,1,false
2024-11-18,APH,41,72.97,2865.08,2.8197,0.0,Risk Assets,1,false
2024-11-18,CVX,18,159.84,2893.68,2.8478,0.0,Risk Assets,1,false
2024-11-18,MMC,13,225.17,2907.71,2.8617,0.0,Unknown,1,false
2024-11-18,LINK,370,13.5,5655.45,5.5659,0.0,High Beta,1,false
2024-11-19,BLK,2,1040.71,2056.22,2.0382,0.0,Risk Assets,1,false
2024-11-19,BRK.B,6,468.81,2813.16,2.7885,0.0,Risk Assets,1,false
2024-11-19,DAI,4999,1.0,4998.5,4.9547,0.0,High Beta,1,false
2024-11-19,HON,12,232.99,2738.4,2.7144,0.0,Risk Assets,1,false
2024-11-19,LOW,18,272.66,4666.68,4.6258,0.0,Risk Assets,1,false
2024-11-19,SBUX,30,99.43,2950.5,2.9246,0.0,Risk Assets,1,false
2024-11-19,MO,54,54.8,3016.44,2.99,0.0,Risk Assets,1,false
2024-11-19,HD,7,408.0,2847.6,2.8226,0.0,Risk Assets,1,false
2024-11-19,JPM,20,242.42,4861.8,4.8192,0.0,Risk Assets,1,false
2024-11-19,ETH,1,3191.34,3111.7,3.0844,0.0,High Beta,1,false
2024-11-19,WMT,35,85.03,3031.0,3.0044,0.0,Unknown,1,false
2024-11-19,APH,41,72.97,2910.18,2.8847,0.0,Risk Assets,1,false
2024-11-19,CVX,18,159.84,2872.8,2.8476,0.0,Risk Assets,1,false
2024-11-19,MMC,13,225.17,2869.49,2.8443,0.0,Unknown,1,false
2024-11-19,LINK,370,13.5,5417.54,5.37,0.0,High Beta,1,false
2024-11-20,BLK,2,1040.71,2049.34,2.0348,0.0,Risk Assets,1,false
2024-11-20,BRK.B,6,468.81,2812.98,2.793,0.0,Risk Assets,1,false
2024-11-20,DAI,4999,1.0,4998.5,4.963,0.0,High Beta,1,false
2024-11-20,HON,12,232.99,2720.04,2.7007,0.0,Risk Assets,1,false
2024-11-20,LOW,18,272.66,4734.54,4.7009,0.0,Risk Assets,1,false
2024-11-20,SBUX,30,99.43,2947.8,2.9269,0.0,Risk Assets,1,false
2024-11-20,MO,54,54.8,3022.92,3.0014,0.0,Risk Assets,1,false
2024-11-20,HD,7,408.0,2800.0,2.7801,0.0,Risk Assets,1,false
2024-11-20,JPM,20,242.42,4815.6,4.7814,0.0,Risk Assets,1,false
2024-11-20,ETH,1,3191.34,3072.24,3.0504,0.0,High Beta,1,false
2024-11-20,WMT,35,85.03,3051.3,3.0296,0.0,Unknown,1,false
2024-11-20,APH,41,72.97,2906.49,2.8858,0.0,Risk Assets,1,false
2024-11-20,CVX,18,159.84,2903.94,2.8833,0.0,Risk Assets,1,false
2024-11-20,MMC,13,225.17,2885.48,2.865,0.0,Unknown,1,false
2024-11-20,LINK,370,13.5,5271.76,5.2343,0.0,High Beta,1,false
2024-11-21,BLK,2,1040.71,2056.0,2.0218,0.0,Risk Assets,1,false
2024-11-21,BRK.B,6,468.81,2832.36,2.7852,0.0,Risk Assets,1,false
2024-11-21,DAI,4999,1.0,4999.5,4.9163,0.0,High Beta,1,false
2024-11-21,HON,12,232.99,2713.08,2.668,0.0,Risk Assets,1,false
2024-11-21,LOW,18,272.66,4773.96,4.6946,0.0,Risk Assets,1,false
2024-11-21,SBUX,30,99.43,3001.8,2.9519,0.0,Risk Assets,1,false
2024-11-21,MO,54,54.8,3025.62,2.9753,0.0,Risk Assets,1,false
2024-11-21,HD,7,408.0,2873.15,2.8254,0.0,Risk Assets,1,false
2024-11-21,JPM,20,242.42,4895.2,4.8138,0.0,Risk Assets,1,false
2024-11-21,ETH,1,3191.34,3359.9,3.304,0.0,High Beta,1,false
2024-11-21,WMT,35,85.03,3093.65,3.0422,0.0,Unknown,1,false
2024-11-21,APH,41,72.97,3002.84,2.9529,0.0,Risk Assets,1,false
2024-11-21,CVX,18,159.84,2909.34,2.8609,0.0,Risk Assets,1,false
2024-11-21,MMC,13,225.17,2917.46,2.8689,0.0,Unknown,1,false
2024-11-21,LINK,370,13.5,5514.85,5.4231,0.0,High Beta,1,false
2024-11-22,BLK,2,1040.71,2072.92,2.0168,0.0,Risk Assets,1,false
2024-11-22,BRK.B,6,468.81,2859.42,2.782,0.0,Risk Assets,1,false
2024-11-22,DAI,4999,1.0,4999.0,4.8637,0.0,High Beta,1,false
2024-11-22,HON,12,232.99,2749.32,2.6749,0.0,Risk Assets,1,false
2024-11-22,LOW,18,272.66,4764.24,4.6353,0.0,Risk Assets,1,false
2024-11-22,SBUX,30,99.43,3075.0,2.9918,0.0,Risk Assets,1,false
2024-11-22,MO,54,54.8,3063.42,2.9805,0.0,Risk Assets,1,false
2024-11-22,HD,7,408.0,2940.0,2.8604,0.0,Risk Assets,1,false
2024-11-22,JPM,20,242.42,4971.0,4.8365,0.0,Risk Assets,1,false
2024-11-22,ETH,1,3191.34,3331.77,3.2416,0.0,High Beta,1,false
2024-11-22,WMT,35,85.03,3165.4,3.0798,0.0,Unknown,1,false
2024-11-22,APH,41,72.97,3045.89,2.9635,0.0,Risk Assets,1,false
2024-11-22,CVX,18,159.84,2922.48,2.8434,0.0,Risk Assets,1,false
2024-11-22,MMC,13,225.17,2961.66,2.8815,0.0,Unknown,1,false
2024-11-22,LINK,370,13.5,6136.82,5.9708,0.0,High Beta,1,false
2024-11-23,BLK,2,1040.71,2072.92,2.0157,0.0,Risk Assets,1,false
2024-11-23,BRK.B,6,468.81,2859.42,2.7805,0.0,Risk Assets,1,false
2024-11-23,DAI,4999,1.0,4999.0,4.861,0.0,High Beta,1,false
2024-11-23,HON,12,232.99,2749.32,2.6734,0.0,Risk Assets,1,false
2024-11-23,LOW,18,272.66,4764.24,4.6327,0.0,Risk Assets,1,false
