date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2022-02-03,UNP,11,250.3,2687.85,2.6982,0.0,Risk Assets,1,false
2022-02-03,AMGN,13,228.66,2912.52,2.9237,0.0,Risk Assets,1,false
2022-02-03,MA,7,388.54,2730.49,2.741,0.0,Risk Assets,1,false
2022-02-03,AVGO,4,595.67,2323.4,2.3323,0.0,Risk Assets,1,false
2022-02-03,ABBV,21,139.5,2955.33,2.9667,0.0,Risk Assets,1,false
2022-02-03,DHR,10,290.06,2899.1,2.9102,0.0,Risk Assets,1,false
2022-02-03,META,9,244.64,2139.84,2.1481,0.0,Risk Assets,1,false
2022-02-03,VRTX,11,250.16,2681.25,2.6915,0.0,Risk Assets,1,false
2022-02-03,TMO,4,595.21,2379.72,2.3889,0.0,Risk Assets,1,false
2022-02-03,BKNG,1,2439.82,2437.52,2.4469,0.0,Risk Assets,1,false
2022-02-03,CVX,22,134.85,2952.4,2.9637,0.0,Risk Assets,1,false
2022-02-03,RTX,32,92.15,2969.92,2.9813,0.0,Risk Assets,1,false
2022-02-03,WFC,53,55.84,2924.01,2.9352,0.0,Risk Assets,1,false
2022-02-03,IBM,21,137.0,2893.38,2.9045,0.0,Risk Assets,1,false
2022-02-03,ICE,23,127.26,2941.47,2.9528,0.0,Risk Assets,1,false
2022-02-03,SO,43,69.0,2977.75,2.9892,0.0,Risk Assets,1,false
2022-02-03,C,45,66.26,2936.7,2.948,0.0,Risk Assets,1,false
2022-02-03,VZ,55,54.0,2958.45,2.9698,0.0,Risk Assets,1,false
2022-02-03,LMT,7,388.18,2727.9,2.7384,0.0,Risk Assets,1,false
2022-02-03,PM,28,104.1,2906.68,2.9178,0.0,Unknown,1,false
2022-02-04,UNP,11,250.3,2666.29,2.6765,0.0,Risk Assets,1,false
2022-02-04,AMGN,13,228.66,2887.43,2.8985,0.0,Risk Assets,1,false
2022-02-04,MA,7,388.54,2675.4,2.6856,0.0,Risk Assets,1,false
2022-02-04,AVGO,4,595.67,2360.64,2.3697,0.0,Risk Assets,1,false
2022-02-04,ABBV,21,139.5,2953.65,2.965,0.0,Risk Assets,1,false
2022-02-04,DHR,10,290.06,2876.3,2.8873,0.0,Risk Assets,1,false
2022-02-04,META,9,244.64,2133.81,2.142,0.0,Risk Assets,1,false
2022-02-04,VRTX,11,250.16,2661.56,2.6718,0.0,Risk Assets,1,false
2022-02-04,TMO,4,595.21,2377.68,2.3868,0.0,Risk Assets,1,false
2022-02-04,BKNG,1,2439.82,2442.93,2.4523,0.0,Risk Assets,1,false
2022-02-04,CVX,22,134.85,2989.36,3.0008,0.0,Risk Assets,1,false
