date,asset,action,quantity,price,value,reason,score_before,score_after,bucket,regime
2022-02-03,UNP,BUY,11,244.35,2687.85,New position,0.0,0.577,Risk Assets,REFLATION
2022-02-03,AMGN,BUY,13,224.04,2912.52,New position,0.0,0.577,Risk Assets,REFLATION
2022-02-03,MA,BUY,7,390.07,2730.49,New position,0.0,0.557,Risk Assets,REFLATION
2022-02-03,AVGO,BUY,4,580.85,2323.4,New position,0.0,0.574,Risk Assets,REFLATION
2022-02-03,ABBV,BUY,21,140.73,2955.33,New position,0.0,0.575,Risk Assets,REFLATION
2022-02-03,DHR,BUY,10,289.91,2899.1,New position,0.0,0.59,Risk Assets,REFLATION
2022-02-03,META,BUY,9,237.76,2139.84,New position,0.0,0.565,Risk Assets,REFLATION
2022-02-03,VRTX,BUY,11,243.75,2681.25,New position,0.0,0.561,Risk Assets,REFLATION
2022-02-03,TMO,BUY,4,594.93,2379.72,New position,0.0,0.586,Risk Assets,REFLATION
2022-02-03,BKNG,BUY,1,2437.52,2437.52,New position,0.0,0.568,Risk Assets,REFLATION
2022-02-03,CVX,BUY,22,134.2,2952.4,New position,0.0,0.557,Risk Assets,REFLATION
2022-02-03,RTX,BUY,32,92.81,2969.92,New position,0.0,0.562,Risk Assets,REFLATION
2022-02-03,WFC,BUY,53,55.17,2924.01,New position,0.0,0.569,Risk Assets,REFLATION
2022-02-03,IBM,BUY,21,137.78,2893.38,New position,0.0,0.56,Risk Assets,REFLATION
2022-02-03,ICE,BUY,23,127.89,2941.47,New position,0.0,0.571,Risk Assets,REFLATION
2022-02-03,SO,BUY,43,69.25,2977.75,New position,0.0,0.585,Risk Assets,REFLATION
2022-02-03,C,BUY,45,65.26,2936.7,New position,0.0,0.594,Risk Assets,REFLATION
2022-02-03,VZ,BUY,55,53.79,2958.45,New position,0.0,0.571,Risk Assets,REFLATION
2022-02-03,LMT,BUY,7,389.7,2727.9,New position,0.0,0.565,Risk Assets,REFLATION
2022-02-03,PM,BUY,28,103.81,2906.68,New position,0.0,0.575,Risk Assets,REFLATION
2022-02-04,UNP,HOLD,11,242.39,2666.29,New position,0.0,0.577,Risk Assets,REFLATION
2022-02-04,AMGN,HOLD,13,222.11,2887.43,New position,0.0,0.577,Risk Assets,REFLATION
2022-02-04,MA,HOLD,7,382.2,2675.4,New position,0.0,0.557,Risk Assets,REFLATION
