date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2025-01-02,100000.0,100000.0,0,0.0,0.0,0.0,0.0,REFLATION,0.0
2025-01-03,100217.89,83626.89325,5,0.0022,0.0022,0.0,0.0,REFLATION,0.0
2025-01-06,100093.85,83626.89325,5,-0.0012,0.0009,-0.1238,0.0,REFLATION,0.0
2025-01-07,99975.91,83626.89325,5,-0.0012,-0.0002,-0.2415,0.0,REFLATION,0.0
2025-01-08,100066.13,83626.89325,5,0.0009,0.0007,-0.1514,0.0,REFLATION,0.0
2025-01-10,99992.91,83626.89325,5,-0.0007,-0.0001,-0.2245,0.0,REFLATION,0.0
2025-01-13,100032.32,83626.89325,5,0.0004,0.0003,-0.1852,0.0,REFLATION,0.0
2025-01-14,100032.81,83626.89325,5,0.0,0.0003,-0.1847,0.0,REFLATION,0.0
2025-01-15,100306.77,83626.89325,5,0.0027,0.0031,0.0,0.0,REFLATION,0.0
2025-01-16,100205.4,83626.89325,5,-0.001,0.0021,-0.1011,0.0,REFLATION,0.0
2025-01-17,100403.0,83626.89325,5,0.002,0.004,0.0,0.0,REFLATION,0.0
2025-01-21,100372.31,83626.89325,5,-0.0003,0.0037,-0.0306,0.0,REFLATION,0.0
2025-01-22,100332.42,83626.89325,5,-0.0004,0.0033,-0.0703,0.0,REFLATION,0.0
2025-01-23,100385.58,83626.89325,5,0.0005,0.0039,-0.0174,0.0,REFLATION,0.0
2025-01-24,100379.75,83626.89325,5,-0.0001,0.0038,-0.0232,0.0,REFLATION,0.0
2025-01-27,100545.61,83626.89325,5,0.0017,0.0055,0.0,0.0,REFLATION,0.0
2025-01-28,100611.08,83626.89325,5,0.0007,0.0061,0.0,0.0,REFLATION,0.0
2025-01-29,100521.87,83626.89325,5,-0.0009,0.0052,-0.0887,0.0,REFLATION,0.0
2025-01-30,100708.46,83626.89325,5,0.0019,0.0071,0.0,0.0,REFLATION,0.0
2025-01-31,100704.89,83626.89325,5,-0.0,0.007,-0.0035,0.0,REFLATION,0.0
