date,asset,action,quantity,price,value,reason,score_before,score_after,bucket,regime
2025-01-03,TSLA,BUY,7,410.44,2873.08,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-03,JPM,BUY,12,243.28,2919.36,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-03,AAPL,BUY,12,243.36,2920.32,New position,0.0,0.594,Risk Assets,REFLATION
2025-01-03,CME,BUY,21,232.5,4882.5,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-03,WMT,BUY,33,90.78,2995.74,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-06,TSLA,HOLD,7,411.05,2877.35,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-06,JPM,HOLD,12,240.85,2890.2,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-06,AAPL,HOLD,12,245.0,2940.0,New position,0.0,0.594,Risk Assets,REFLATION
2025-01-06,CME,HOLD,21,225.82,4742.22,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-06,WMT,HOLD,33,91.43,3017.19,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-07,TSLA,HOLD,7,394.36,2760.52,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-07,JPM,HOLD,12,243.17,2918.04,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-07,AAPL,HOLD,12,242.21,2906.52,New position,0.0,0.594,Risk Assets,REFLATION
2025-01-07,CME,HOLD,21,227.01,4767.21,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-07,WMT,HOLD,33,90.81,2996.73,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-08,TSLA,HOLD,7,394.94,2764.58,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-08,JPM,HOLD,12,243.13,2917.56,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-08,AAPL,HOLD,12,242.7,2912.4,New position,0.0,0.594,Risk Assets,REFLATION
2025-01-08,CME,HOLD,21,229.3,4815.3,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-08,WMT,HOLD,33,91.8,3029.4,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-10,TSLA,HOLD,7,394.74,2763.18,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-10,JPM,HOLD,12,239.87,2878.44,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-10,AAPL,HOLD,12,236.85,2842.2,New position,0.0,0.594,Risk Assets,REFLATION
2025-01-10,CME,HOLD,21,229.2,4813.2,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-10,WMT,HOLD,33,93.0,3069.0,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-13,TSLA,HOLD,7,403.31,2823.17,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-13,JPM,HOLD,12,244.21,2930.52,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-13,AAPL,HOLD,12,234.4,2812.8,New position,0.0,0.594,Risk Assets,REFLATION
2025-01-13,CME,HOLD,21,229.45,4818.45,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-13,WMT,HOLD,33,91.53,3020.49,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-14,TSLA,HOLD,7,396.36,2774.52,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-14,JPM,HOLD,12,247.47,2969.64,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-14,AAPL,HOLD,12,233.28,2799.36,New position,0.0,0.594,Risk Assets,REFLATION
2025-01-14,CME,HOLD,21,231.73,4866.33,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-14,WMT,HOLD,33,90.79,2996.07,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-15,TSLA,HOLD,7,428.22,2997.54,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-15,JPM,HOLD,12,252.35,3028.2,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-15,AAPL,HOLD,12,237.87,2854.44,New position,0.0,0.594,Risk Assets,REFLATION
2025-01-15,CME,HOLD,21,227.88,4785.48,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-15,WMT,HOLD,33,91.34,3014.22,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-16,TSLA,HOLD,7,413.82,2896.74,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-16,JPM,HOLD,12,254.27,3051.24,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-16,AAPL,HOLD,12,228.26,2739.12,New position,0.0,0.594,Risk Assets,REFLATION
2025-01-16,CME,HOLD,21,232.31,4878.51,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-16,WMT,HOLD,33,91.3,3012.9,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-17,TSLA,HOLD,7,426.5,2985.5,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-17,JPM,HOLD,12,259.16,3109.92,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-17,AAPL,HOLD,12,229.98,2759.76,New position,0.0,0.594,Risk Assets,REFLATION
2025-01-17,CME,HOLD,21,232.71,4886.91,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-17,WMT,HOLD,33,91.94,3034.02,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-21,TSLA,HOLD,7,424.07,2968.49,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-21,JPM,HOLD,12,263.03,3156.36,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-21,AAPL,HOLD,12,222.64,2671.68,New position,0.0,0.594,Risk Assets,REFLATION
2025-01-21,CME,HOLD,21,232.25,4877.25,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-21,WMT,HOLD,33,93.08,3071.64,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-22,TSLA,HOLD,7,415.11,2905.77,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-22,JPM,HOLD,12,262.84,3154.08,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-22,AAPL,HOLD,12,223.83,2685.96,New position,0.0,0.594,Risk Assets,REFLATION
2025-01-22,CME,HOLD,21,232.53,4883.13,New position,0.0,0.609,Risk Assets,REFLATION
