date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2025-01-03,SPHB,33,89.17,2992.44,2.9569,0.0,High Beta,1,false
2025-01-03,PFE,112,26.7,2978.08,2.9427,0.0,Risk Assets,1,false
2025-01-03,TSLA,7,381.48,2873.08,2.8389,0.0,Risk Assets,1,false
2025-01-03,SOL,14,208.1,3051.02,3.0148,0.0,Unknown,1,false
2025-01-03,RKLB,120,25.02,3448.8,3.4078,0.0,Risk Assets,1,false
2025-01-03,CSCO,50,58.84,2943.0,2.908,0.0,Risk Assets,1,false
2025-01-03,COST,3,914.33,2749.74,2.7171,0.0,Risk Assets,1,false
2025-01-03,NOW,2,1059.3,2147.54,2.122,0.0,Risk Assets,1,false
2025-01-03,CRM,9,332.1,2996.1,2.9605,0.0,Unknown,1,false
2025-01-03,CRWD,8,349.23,2872.16,2.838,0.0,Risk Assets,1,false
2025-01-03,NVDA,21,140.01,3033.87,2.9978,0.0,Risk Assets,1,false
2025-01-03,AMT,16,181.25,2920.96,2.8862,0.0,Risk Assets,1,false
2025-01-03,XLY,22,222.64,4969.36,4.9103,0.0,Cyclicals,1,false
2025-01-03,WMT,33,90.15,2995.74,2.9601,0.0,Risk Assets,1,false
2025-01-03,MSFT,7,421.08,2963.45,2.9282,0.0,Risk Assets,1,false
2025-01-03,CME,12,231.64,2790.0,2.7568,0.0,Risk Assets,1,false
2025-01-03,COP,29,100.62,2931.61,2.8968,0.0,Risk Assets,1,false
2025-01-03,KO,48,61.9,2964.0,2.9288,0.0,Risk Assets,1,false
2025-01-03,APH,43,69.45,3014.3,2.9785,0.0,Risk Assets,1,false
2025-01-03,JPM,12,243.89,2919.36,2.8847,0.0,Risk Assets,1,false
2025-01-03,MA,5,522.53,2606.8,2.5758,0.0,Risk Assets,1,false
2025-01-03,AVGO,12,233.59,2790.6,2.7574,0.0,Risk Assets,1,false
2025-01-03,ANET,26,112.48,2995.2,2.9596,0.0,Risk Assets,1,false
