date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2025-01-01,100000.0,100000.0,0,0.0,0.0,0.0,0.0,,0.0
2025-01-02,100000.0,100000.0,0,0.0,0.0,0.0,0.0,REFLATION,0.0
2025-01-03,101202.92,123.628905,34,0.012,0.012,0.0,0.0,REFLATION,0.0
2025-01-04,101142.81,123.628905,34,-0.0006,0.0114,-0.0594,0.0,REFLATION,0.0
2025-01-05,101070.65,123.628905,34,-0.0007,0.0107,-0.1307,0.0,REFLATION,0.0
2025-01-06,101591.6,123.628905,34,0.0052,0.0159,0.0,0.0,REFLATION,0.0
2025-01-07,100154.28,123.628905,34,-0.0141,0.0015,-1.4148,0.0,REFLATION,0.0
2025-01-08,100231.82,123.628905,34,0.0008,0.0023,-1.3385,0.0,REFLATION,0.0
2025-01-09,99932.36,123.628905,34,-0.003,-0.0007,-1.6332,0.0,REFLATION,0.0
2025-01-10,98905.42,123.628905,34,-0.0103,-0.0109,-2.6441,0.0,REFLATION,0.0
2025-01-11,99203.86,123.628905,34,0.003,-0.008,-2.3503,0.0,REFLATION,0.0
2025-01-12,99118.24,123.628905,34,-0.0009,-0.0088,-2.4346,0.0,REFLATION,0.0
2025-01-13,98587.53,123.628905,34,-0.0054,-0.0141,-2.957,0.0,REFLATION,0.0
2025-01-14,99006.9,123.628905,34,0.0043,-0.0099,-2.5442,0.0,REFLATION,0.0
2025-01-15,101332.8,123.628905,34,0.0235,0.0133,-0.2547,0.0,REFLATION,0.0
2025-01-16,101445.88,123.628905,34,0.0011,0.0145,-0.1434,0.0,REFLATION,0.0
2025-01-17,102510.73,123.628905,34,0.0105,0.0251,0.0,0.0,REFLATION,0.0
2025-01-18,103069.91,123.628905,34,0.0055,0.0307,0.0,0.0,REFLATION,0.0
2025-01-19,102547.57,123.628905,34,-0.0051,0.0255,-0.5068,0.0,REFLATION,0.0
2025-01-20,102579.89,123.628905,34,0.0003,0.0258,-0.4754,0.0,REFLATION,0.0
2025-01-21,104540.52,123.628905,34,0.0191,0.0454,0.0,0.0,REFLATION,0.0
2025-01-22,105327.09,123.628905,34,0.0075,0.0533,0.0,0.0,REFLATION,0.0
2025-01-23,105984.88,123.628905,34,0.0062,0.0598,0.0,0.0,REFLATION,0.0
2025-01-24,105449.58,123.628905,34,-0.0051,0.0545,-0.5051,0.0,REFLATION,0.0
2025-01-25,105499.44,123.628905,34,0.0005,0.055,-0.458,0.0,REFLATION,0.0
2025-01-26,105168.19,123.628905,34,-0.0031,0.0517,-0.7706,0.0,REFLATION,0.0
2025-01-27,103146.78,123.628905,34,-0.0192,0.0315,-2.6778,0.0,REFLATION,0.0
2025-01-28,103957.93,123.628905,34,0.0079,0.0396,-1.9125,0.0,REFLATION,0.0
2025-01-29,103525.71,123.628905,34,-0.0042,0.0353,-2.3203,0.0,REFLATION,0.0
2025-01-30,104378.37,123.628905,34,0.0082,0.0438,-1.5158,2.665422,REFLATION,0.0
2025-01-31,103968.98,123.628905,34,-0.0039,0.0397,-1.9021,2.413399,REFLATION,0.0
2025-02-01,103510.03,123.628905,34,-0.0044,0.0351,-2.3351,2.132941,REFLATION,0.0
2025-02-02,103004.29,123.628905,34,-0.0049,0.03,-2.8123,1.143863,REFLATION,0.0
2025-02-03,102672.21,123.628905,34,-0.0032,0.0267,-3.1256,0.980331,REFLATION,0.0
2025-02-04,102653.12,500.573874,30,-0.0002,0.0265,-3.1436,1.012692,REFLATION,0.0
2025-02-05,102581.73,500.573874,30,-0.0007,0.0258,-3.211,0.659637,REFLATION,0.0
2025-02-06,102069.81,500.573874,30,-0.005,0.0207,-3.694,1.275369,REFLATION,0.0
2025-02-07,101083.03,500.573874,30,-0.0097,0.0108,-4.625,0.592305,DEFLATION,0.0
2025-02-08,101076.56,6183.424375,27,-0.0001,0.0108,-4.6311,0.776694,DEFLATION,0.0
2025-02-09,101076.56,6183.424375,27,0.0,0.0108,-4.6311,1.461233,DEFLATION,0.0
2025-02-10,101536.6,101536.60075,0,0.0046,0.0154,-4.1971,1.55633,DEFLATION,0.0
2025-02-11,101536.6,101536.60075,0,0.0,0.0154,-4.1971,1.61265,DEFLATION,0.0
2025-02-12,101536.6,101536.60075,0,0.0,0.0154,-4.1971,1.976213,DEFLATION,0.0
2025-02-13,101536.6,101536.60075,0,0.0,0.0154,-4.1971,1.704589,DEFLATION,0.0
2025-02-14,101536.6,101536.60075,0,0.0,0.0154,-4.1971,0.206727,DEFLATION,0.0
2025-02-15,101536.6,101536.60075,0,0.0,0.0154,-4.1971,0.121427,DEFLATION,0.0
2025-02-16,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-0.71114,DEFLATION,0.0
2025-02-17,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-1.162126,DEFLATION,0.0
2025-02-18,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-0.758782,DEFLATION,0.0
2025-02-19,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-0.784602,DEFLATION,0.0
2025-02-20,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-2.843158,DEFLATION,0.0
2025-02-21,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-3.756911,DEFLATION,0.0
2025-02-22,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-4.574991,DEFLATION,0.0
2025-02-23,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-4.066355,DEFLATION,0.0
2025-02-24,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-4.121925,DEFLATION,0.0
2025-02-25,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-3.786803,DEFLATION,0.0
2025-02-26,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-2.377411,DEFLATION,0.0
2025-02-27,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-4.020102,DEFLATION,0.0
2025-02-28,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-3.376821,DEFLATION,0.0
2025-03-01,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-5.783965,DEFLATION,0.0
2025-03-02,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-5.08095,DEFLATION,0.0
2025-03-03,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-4.294905,DEFLATION,0.0
2025-03-04,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-3.399425,DEFLATION,0.0
2025-03-05,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-2.70518,DEFLATION,0.0
2025-03-06,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-2.658692,DEFLATION,0.0
2025-03-07,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-2.488485,DEFLATION,0.0
2025-03-08,101536.6,101536.60075,0,0.0,0.0154,-4.1971,-1.386882,DEFLATION,0.0
2025-03-09,101536.6,101536.60075,0,0.0,0.0154,-4.1971,2.855862,DEFLATION,0.0
2025-03-10,101536.6,101536.60075,0,0.0,0.0154,-4.1971,2.898275,DEFLATION,0.0
2025-03-11,101445.2,96491.40059,1,-0.0009,0.0145,-4.2833,2.266047,DEFLATION,0.0
2025-03-12,101389.44,96491.40059,1,-0.0005,0.0139,-4.3359,-4.046549,DEFLATION,0.0
2025-03-13,101388.08,96491.40059,1,-0.0,0.0139,-4.3372,-4.086188,DEFLATION,0.0
2025-03-14,101440.44,96491.40059,1,0.0005,0.0144,-4.2878,-2.322551,DEFLATION,0.0
2025-03-15,101440.44,96491.40059,1,0.0,0.0144,-4.2878,-2.322551,DEFLATION,0.0
2025-03-16,101440.44,96491.40059,1,0.0,0.0144,-4.2878,-2.322551,DEFLATION,0.0
2025-03-17,101490.08,96491.40059,1,0.0005,0.0149,-4.241,-1.026769,DEFLATION,0.0
2025-03-18,101479.88,96491.40059,1,-0.0001,0.0148,-4.2506,-1.249754,DEFLATION,0.0
2025-03-19,101494.84,96491.40059,1,0.0001,0.0149,-4.2365,-0.912122,DEFLATION,0.0
2025-03-20,101485.32,96491.40059,1,-0.0001,0.0149,-4.2455,-1.118502,DEFLATION,0.0
2025-03-21,101449.96,96491.40059,1,-0.0003,0.0145,-4.2788,-1.833474,DEFLATION,0.0
2025-03-22,101449.96,96491.40059,1,0.0,0.0145,-4.2788,-1.833474,DEFLATION,0.0
2025-03-23,101449.96,96491.40059,1,0.0,0.0145,-4.2788,-1.833474,DEFLATION,0.0
2025-03-24,101477.16,96491.40059,1,0.0003,0.0148,-4.2532,-1.227759,DEFLATION,0.0
2025-03-25,101462.88,96491.40059,1,-0.0001,0.0146,-4.2666,-1.517654,DEFLATION,0.0
2025-03-26,101507.76,96491.40059,1,0.0004,0.0151,-4.2243,-0.561204,DEFLATION,0.0
2025-03-27,101528.16,96491.40059,1,0.0002,0.0153,-4.2051,-0.161069,DEFLATION,0.0
2025-03-28,101504.36,96491.40059,1,-0.0002,0.015,-4.2275,-0.613617,DEFLATION,0.0
2025-03-29,101504.36,96491.40059,1,0.0,0.015,-4.2275,-0.613617,DEFLATION,0.0
2025-03-30,101504.36,96491.40059,1,0.0,0.015,-4.2275,-0.613617,DEFLATION,0.0
2025-03-31,101572.36,96491.40059,1,0.0007,0.0157,-4.1633,0.623618,DEFLATION,0.0
2025-04-01,101571.68,96491.40059,1,-0.0,0.0157,-4.164,0.611782,DEFLATION,0.0
2025-04-02,101575.76,96491.40059,1,0.0,0.0158,-4.1601,0.682573,DEFLATION,0.0
2025-04-03,101532.24,96491.40059,1,-0.0004,0.0153,-4.2012,-0.070779,DEFLATION,0.0
2025-04-04,101250.72,96491.40059,1,-0.0028,0.0125,-4.4668,-2.508336,DEFLATION,0.0
2025-04-05,101250.72,96491.40059,1,0.0,0.0125,-4.4668,-2.508336,DEFLATION,0.0
2025-04-06,101250.72,96491.40059,1,0.0,0.0125,-4.4668,-2.508336,DEFLATION,0.0
2025-04-07,101171.84,96491.40059,1,-0.0008,0.0117,-4.5413,-3.135842,DEFLATION,0.0
2025-04-08,101124.24,96491.40059,1,-0.0005,0.0112,-4.5862,-3.529706,DEFLATION,0.0
2025-04-09,101328.24,96491.40059,1,0.002,0.0133,-4.3937,-1.493621,DEFLATION,0.0
