date,asset,action,quantity,price,value,reason,score_before,score_after,bucket,regime
2025-01-03,SPHB,BUY,33,90.68,2992.44,New position,0.0,0.509,High Beta,REFLATION
2025-01-03,PFE,BUY,112,26.59,2978.08,New position,0.0,0.531,Risk Assets,REFLATION
2025-01-03,TSLA,BUY,7,410.44,2873.08,New position,0.0,0.564,Risk Assets,REFLATION
2025-01-03,SOL,BUY,14,217.93,3051.02,New position,0.0,0.528,High Beta,REFLATION
2025-01-03,RKLB,BUY,120,28.74,3448.8,New position,0.0,0.565,Risk Assets,REFLATION
2025-01-03,CSCO,BUY,50,58.86,2943.0,New position,0.0,0.557,Risk Assets,REFLATION
2025-01-03,COST,BUY,3,916.58,2749.74,New position,0.0,0.547,Risk Assets,REFLATION
2025-01-03,NOW,BUY,2,1073.77,2147.54,New position,0.0,0.533,Risk Assets,REFLATION
2025-01-03,CRM,BUY,9,332.9,2996.1,New position,0.0,0.533,Risk Assets,REFLATION
2025-01-03,CRWD,BUY,8,359.02,2872.16,New position,0.0,0.533,Risk Assets,REFLATION
2025-01-03,NVDA,BUY,21,144.47,3033.87,New position,0.0,0.526,Risk Assets,REFLATION
2025-01-03,AMT,BUY,16,182.56,2920.96,New position,0.0,0.524,Risk Assets,REFLATION
2025-01-03,XLY,BUY,22,225.88,4969.36,New position,0.0,0.609,Cyclicals,REFLATION
2025-01-03,WMT,BUY,33,90.78,2995.74,New position,0.0,0.564,Risk Assets,REFLATION
2025-01-03,MSFT,BUY,7,423.35,2963.45,New position,0.0,0.524,Risk Assets,REFLATION
2025-01-03,CME,BUY,12,232.5,2790.0,New position,0.0,0.585,Risk Assets,REFLATION
2025-01-03,COP,BUY,29,101.09,2931.61,New position,0.0,0.558,Risk Assets,REFLATION
2025-01-03,KO,BUY,48,61.75,2964.0,New position,0.0,0.519,Risk Assets,REFLATION
2025-01-03,APH,BUY,43,70.1,3014.3,New position,0.0,0.51,Risk Assets,REFLATION
2025-01-03,JPM,BUY,12,243.28,2919.36,New position,0.0,0.54,Risk Assets,REFLATION
2025-01-03,MA,BUY,5,521.36,2606.8,New position,0.0,0.51,Risk Assets,REFLATION
2025-01-03,AVGO,BUY,12,232.55,2790.6,New position,0.0,0.598,Risk Assets,REFLATION
2025-01-03,ANET,BUY,26,115.2,2995.2,New position,0.0,0.533,Risk Assets,REFLATION
2025-01-03,LOW,BUY,12,248.48,2981.76,New position,0.0,0.519,Risk Assets,REFLATION
2025-01-03,GOOG,BUY,15,193.13,2896.95,New position,0.0,0.55,Risk Assets,REFLATION
2025-01-03,XRP,BUY,1249,2.45,3064.8,New position,0.0,0.55,High Beta,REFLATION
2025-01-03,AMZN,BUY,13,224.19,2914.47,New position,0.0,0.513,Risk Assets,REFLATION
2025-01-03,NFLX,BUY,3,881.05,2643.15,New position,0.0,0.533,Risk Assets,REFLATION
2025-01-03,HON,BUY,13,226.52,2944.76,New position,0.0,0.52,Risk Assets,REFLATION
2025-01-03,BA,BUY,17,169.9,2888.3,New position,0.0,0.588,Risk Assets,REFLATION
2025-01-03,GOOGL,BUY,15,191.79,2876.85,New position,0.0,0.573,Risk Assets,REFLATION
2025-01-03,DAI,BUY,3000,1.0,2999.4,New position,0.0,0.55,High Beta,REFLATION
2025-01-03,AAPL,BUY,12,243.36,2920.32,New position,0.0,0.559,Risk Assets,REFLATION
2025-01-03,DIS,BUY,27,111.16,3001.32,New position,0.0,0.544,Risk Assets,REFLATION
2025-01-04,SPHB,HOLD,33,90.68,2992.44,New position,0.0,0.509,High Beta,REFLATION
2025-01-04,PFE,HOLD,112,26.59,2978.08,New position,0.0,0.531,Risk Assets,REFLATION
2025-01-04,TSLA,HOLD,7,410.44,2873.08,New position,0.0,0.564,Risk Assets,REFLATION
2025-01-04,SOL,HOLD,14,216.64,3032.96,New position,0.0,0.528,High Beta,REFLATION
2025-01-04,RKLB,HOLD,120,28.74,3448.8,New position,0.0,0.565,Risk Assets,REFLATION
2025-01-04,CSCO,HOLD,50,58.86,2943.0,New position,0.0,0.557,Risk Assets,REFLATION
2025-01-04,COST,HOLD,3,916.58,2749.74,New position,0.0,0.547,Risk Assets,REFLATION
2025-01-04,NOW,HOLD,2,1073.77,2147.54,New position,0.0,0.533,Risk Assets,REFLATION
2025-01-04,CRM,HOLD,9,332.9,2996.1,New position,0.0,0.533,Risk Assets,REFLATION
2025-01-04,CRWD,HOLD,8,359.02,2872.16,New position,0.0,0.533,Risk Assets,REFLATION
2025-01-04,NVDA,HOLD,21,144.47,3033.87,New position,0.0,0.526,Risk Assets,REFLATION
2025-01-04,AMT,HOLD,16,182.56,2920.96,New position,0.0,0.524,Risk Assets,REFLATION
2025-01-04,XLY,HOLD,22,225.88,4969.36,New position,0.0,0.609,Cyclicals,REFLATION
2025-01-04,WMT,HOLD,33,90.78,2995.74,New position,0.0,0.564,Risk Assets,REFLATION
2025-01-04,MSFT,HOLD,7,423.35,2963.45,New position,0.0,0.524,Risk Assets,REFLATION
2025-01-04,CME,HOLD,12,232.5,2790.0,New position,0.0,0.585,Risk Assets,REFLATION
2025-01-04,COP,HOLD,29,101.09,2931.61,New position,0.0,0.558,Risk Assets,REFLATION
