date,asset,action,quantity,price,value,reason,score_before,score_after,bucket,regime
2025-01-03,CME,BUY,21,232.5,4882.5,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-03,JPM,BUY,12,243.28,2919.36,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-03,TSLA,BUY,7,410.44,2873.08,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-06,CME,HOLD,21,225.82,4742.22,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-06,JPM,HOLD,12,240.85,2890.2,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-06,TSLA,HOLD,7,411.05,2877.35,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-07,CME,HOLD,21,227.01,4767.21,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-07,JPM,HOLD,12,243.17,2918.04,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-07,TSLA,HOLD,7,394.36,2760.52,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-08,CME,HOLD,21,229.3,4815.3,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-08,JPM,HOLD,12,243.13,2917.56,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-08,TSLA,HOLD,7,394.94,2764.58,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-10,CME,HOLD,21,229.2,4813.2,New position,0.0,0.609,Risk Assets,REFLATION
2025-01-10,JPM,HOLD,12,239.87,2878.44,New position,0.0,0.599,Risk Assets,REFLATION
2025-01-10,TSLA,HOLD,7,394.74,2763.18,New position,0.0,0.599,Risk Assets,REFLATION
